"req_id","source_section","requirement","status","severity","evidence","evidence_class","document","user_impact","safety_privacy_impact","proposed_owner","dependency","confidence","acceptance_test"
"V19-BLD-007","§3.8 / §16","Fixed vs ongoing PlanTiming.kind with distinct lifecycle; ongoing never invents completion","absent","P1","No timing kind anywhere. /usr/bin/grep -ac 'PlanTiming\|ongoing' site/app.js = 0 for PlanTiming. plan.protocols[] carries only {pid,rcid,moves,supps,functions,startedAt} (site/app.js:130-135). studio_protocols.spec has no timing field (db.js:496-560).","OBSERVED FACT","code","Every protocol behaves as open-ended; nothing can complete, and nothing has a review interval.","Medium: an ongoing supplement plan with no authored review interval is exactly the case the safety layer needs a stop date for.","Content macro","V19-IA-004","high","A fixed Plan completes only on its authored rule; an ongoing Plan shows review milestones and never renders a completion title or final Day."
"V19-BLD-008","§3.8 / §16","Sequential / parallel / choose-one Plan relationships as plain sentences and typed edges","absent","P2","No edge model. plan.protocols is a flat array; mergedPlan() (site/app.js, called at renderPlanTracking:5954) unions moves and supps with no ordering relation.","OBSERVED FACT","code","Multiple started protocols run simultaneously with no expressed relationship, which is exactly the stacking the owner asked for but with no sequencing language.","none","UX macro","V19-BLD-007","high","Each relationship renders one of the four §3.8 sentences and stores a typed edge."
"V19-BLD-009","§3.11 / §16","Graph/list parity - every mutation and validator keyboard/screen-reader operable in list form","blocked","P2","No graph exists, so parity is untestable. The existing linear builder IS keyboard-operable (native checkboxes, site/app.js:5364-5366) - that is the list half with no graph half.","INFERENCE","code","Cannot be assessed until a graph exists.","none","UX macro","V19-BLD-002","high","Every builder mutation is performable from List view with keyboard only and announced by name+type+status+destination count."
"V19-BLD-010","§3.12 / §16","One-issue publish repair, ordered validation, no error dump","partial","P1","studio-safety.js (337 lines) mirrors the 5 build gates and POST /api/protocols/check returns {refusals:[],warn:[]} arrays (verified against the endpoint comment at site/app.js:8799-8809). The verdict is correctly NOT keyed off `ok`. But the client paints the WHOLE warn+refusal list (stPaintVerdict), not one blocking issue at a time, and the §3.12 ordering (urgent/safety first) is not the array order.","OBSERVED FACT","code","A novice hits a validation dump rather than 'fix this one thing'.","Positive: the refusal engine itself is real and server-authoritative.","UX macro","none","medium","Continue setup shows exactly one blocker, chosen by the §3.12 priority order, with one repair button; proven by seeding two blockers of different priority."
"V19-BLD-011","§3.12 / §16","Graph integrity: reachability, no self-edge, declared loops, safety terminals across UI/API/import/duplicate","absent","P2","No graph model exists in the product. The nearest analogue is assertLinkGraph in build/parse.js which enforces dead-link/orphan integrity over the CONTENT link graph, not a protocol graph.","OBSERVED FACT","code","n/a until a graph exists.","Safety terminals are today enforced by content authoring (the 'when this is not a self-care problem' section on 41/41 problem pages),  not by a graph validator.","Content macro","V19-BLD-002","high","Import, duplicate, API and UI all reject an unreachable node, a self-edge and an undeclared cycle; proven by reintroducing each."
"V19-BLD-012","§3.4 / §16","Truthful save state - Saved only after durable server acknowledgement","contradictory","P1","Studio draft is localStorage-only by design: ST_KEY='rnawiki_studio_draft' with the comment 'GET /api/protocols/:code 404s on a draft and there is no list endpoint, so a server-saved draft can never be read back - it is write-only' (site/app.js:8820-8824). So no durable server acknowledgement is even possible for a draft, and there is no Saving/Saved/Offline/Conflict state machine.","OBSERVED FACT","code","A creator's draft exists on one device only. Clearing site data destroys it with no warning.","DATA-LOSS class: the only copy of a creator's work is in localStorage with no export and no conflict handling.","Integrator","server draft endpoint","high","Saved appears only after a 2xx durable ack; offline edits are labelled 'changes on this device'; a conflicting revision opens Resolve save conflict and loses nothing."
"V19-BLD-013","§3.10 / §16","Specialist field round-trip through save, reload, reopen, duplicate, migration, preview, compile; legacy values preserved not dropped","partial","P2","The override/inheritance design preserves unknown keys structurally (db.js:496-560: 'EVERY KEY OTHER THAN k AND id IS AN OVERRIDE'), and remix diffs resolve as drop/set/add/move. But most §3.10 fields do not exist to round-trip (see V19-BLD-005) and there is no 'unsupported legacy value preserved and flagged' path.","OBSERVED FACT","code","Fields a creator cannot enter cannot be lost - but also cannot be expressed.","none","Integrator","V19-BLD-005","medium","Every family field survives save->reload->reopen->duplicate->migrate->preview->compile byte-identical; an unknown key is preserved and surfaced for review."
"V19-BLD-014","§3.11 / §16","Compact-laptop alignment 1024-1728px and 200% zoom, no map/workbench/control overlap","blocked","P3","No map exists to align. Desktop geometry gate exists for the rest of the site (task #15 W5.5c complete).","INFERENCE","n/a","n/a","none","UX macro","V19-BLD-002","high","Screenshots at 1024/1280/1440/1728 and 200% zoom show labels over their columns and zero overlap."
"V19-BLD-015","§3.4 / §16","Optional first-use help: four-stage grammar visible without a tutorial; one dismissible replayable sheet","absent","P3","No help sheet, and no four-stage legend (see V19-BLD-001).","OBSERVED FACT","code","A first-time creator gets no orientation.","none","UX macro","V19-BLD-001","high","Grammar is legible with the sheet never opened; the sheet is dismissible, replayable, and never blocks the first edit."
"V19-COM-001","§4.2 / §16","Community is contextual help: joined state leads with the relevant protocol Discussion","absent","P1","/community -> HTTP 404. renderComments() is a NO-OP: 'Comments were removed in c154f86. The body below this line has been unreachable ever since' (site/app.js:1042-1047). /usr/bin/grep -ac 'api/explain' site/app.js = 0 - the explain_posts endpoints (server.js:1139-1190) and table (db.js:496) have ZERO client callers.","OBSERVED FACT","code + prerendered","There is no community. The owner's decision 'users get access to the Community for the protocols they started' has no surface to grant access to.","Privacy-positive today (nothing is published),  but the dead server endpoints accept anonymous POSTs (server.js:1172 rate-limits user_id IS NULL) with no moderation surface.","Content macro + integrator","V19-IA-001","high","A joined account opens Community and the dominant region is that protocol's Discussion with protocol and Day context."
"V19-COM-002","§4.2 / §16","Honest empty Community: one search, real protocol summaries with creator identity, one curated discussion preview, no fabricated counts","absent","P1","No Community route. Related honest-count discipline IS enforced elsewhere and should be carried across: startedBy() prints 'Nobody has started it yet' rather than '0' (site/app.js ~8885), and the profile note states no rank/percentile/level/badge/score is ever shown.","OBSERVED FACT","code","n/a","Constraint 5 (never fabricate counts) is currently satisfied by absence; building Community is where it becomes at risk.","Content macro","V19-COM-001","high","?state=empty equivalent renders one search, 3 real protocols with named creators, one curated public preview, and zero invented participation numbers."
"V19-COM-003","§4.2 / §16","Joined Community hierarchy: discussion -> communities -> contextual items -> secondary discovery -> one account rail","absent","P2","No Community route (404).","OBSERVED FACT","prerendered","n/a","none","UX macro","V19-COM-001","high","DOM order matches the five-band hierarchy at 1440x900."
"V19-COM-004","§4.2 / §16","Creator discovery without clutter: protocol results name creators; grouped Creators result type; no leaderboard","absent","P2","No Community. /u/<handle> exists (200, X-Robots-Tag noindex,nofollow) and correctly shows only published protocols. Global search does not return a Creators group.","OBSERVED FACT","code","n/a","Positive: the deliberate no-leaderboard stance already matches the spec.","Content macro","V19-COM-001","high","A creator-name query returns a grouped Creators result; no leaderboard module exists on any default screen."
"V19-DIS-001","§4.4 / §16","Participant status on comments: relationship + consented Day/streak or Champion context","absent","P1","No comment surface (V19-COM-001). explain_posts stores only {slug,kind,parent_id,user_id,handle,body,created_at} (db.js:496-506) - no participation, consent or Champion projection.","OBSERVED FACT","code","n/a","PRIVACY-CRITICAL when built: Day/streak on a public comment is a health-adjacent disclosure and §9.1 requires per-enrollment consent before projection.","Content macro","V19-COM-001 + V19-PRI-001","high","A comment renders Day/streak only when a per-enrollment consent record exists; the leak test proves an unconsented account renders no Day."
"V19-DIS-002","§4.5 / §16","Multiple attributed alternatives retaining contributor and affected version","absent","P2","No alternatives model. The nearest existing artefacts are rootcause_changes / rootcause_endorsements / proposals (db.js:173,189,246) which are a different, older mechanism and have no UI on this branch.","OBSERVED FACT","code","n/a","Community members must never alter doses/contraindications (§4.7) - the proposals tables predate that rule and need re-scoping.","Content macro","V19-COM-001","medium","Two compatible alternatives coexist, each showing affected action+version, contributor, review state and acceptor."
"V19-DIS-003","§4.6 / §16","Reaction arithmetic net = max(0, validHelpful - validNotHelpful); idempotent; author/self/abuse exclusions server-enforced","absent","P2","No reactions. votes table exists (db.js:61) from the retired comment system with no current caller.","OBSERVED FACT","code","n/a","Anti-abuse must be server-side from day one.","Integrator","V19-COM-001","high","Repeating a vote does not change the count; the author's own vote is excluded; net floors at zero (7/1 -> 6, 1/7 -> 0)."
"V19-DIS-004","§4.6 / §16","Delayed Credit settlement; pending not spendable","absent","P2","No Credits. rep_events (db.js:102) and /api/rep exist from the retired reputation system; /usr/bin/grep -ac 'Credits' site/app.js = 0.","OBSERVED FACT","code","n/a","LEGAL-CLINICAL DEPENDENCY: §4.6 states v1 Credits are closed-loop,  noncash,  non-transferable - any change needs payments/tax/labour review. Do not implement convertibility.","Integrator","V19-COM-001 + named legal owner","high","Pending Credits cannot be spent; settlement occurs only after independent, safety and fraud checks."
"V19-DIS-005","§4.7 / §16","Sensitive question route: safety corpus never posts publicly; safe next action shown; draft disposition stated","absent","P0","No Discussion, but POST /api/explain (server.js:1163-1190) is LIVE, accepts anonymous bodies, rate-limits only, and has no safety classification, no urgent-route bypass and no draft-disposition message. The client has 0 callers so nothing reaches it today - the endpoint is one client call away from being an unmoderated health-text intake.","OBSERVED FACT","code","None today (no UI). If any Community UI is wired to this endpoint without the safety route, the first sensitive post publishes.","P0 SAFETY: an urgent/self-harm/adverse-event message would publish publicly with no stop/help route and no record of what happened to the draft.","Integrator","none - can be closed now","high","An authored urgent signal never publishes; the participant is told whether the draft was saved privately, discarded or escalated; proven by posting a seeded urgent phrase."
"V19-DIS-006","§4.3 / §16","Exactly three filters All / Questions / Alternatives; All opens on today's thread","absent","P3","No Discussion.","OBSERVED FACT","code","n/a","none","UX macro","V19-COM-001","high","Exactly three filter controls exist; All lands on the thread tied to today's action."
"V19-REW-001","§4.6 / §16","One truthful Money Tree in global help only; matches settled ledger; never implies cash or health change; never punishes missed days","absent","P3","/usr/bin/grep -ac 'Money Tree' site/app.js = 0; grep 'Community Boost' = 0.","OBSERVED FACT","code","n/a","Do not build until Credits has a named legal owner (§14).","Content macro","V19-DIS-004","high","The visualization exists once, in global Credits help, beside an exact numeric ledger, and does not shrink on a missed day."
"V19-PRO-001","§5.3 / §16","Coaching Core Protocol dominant; Active Journey compact, optional, separately consented","absent","P1","/u/<handle> renders only published protocols and explicitly nothing followed: 'It shows nothing the person reads, plans, logs or follows' (site/app.js:8875-8880), enforced by assertProfileDisclosesOnlyPublished() in build/parse.js. There is no Core/Active distinction because there is no Active projection at all.","OBSERVED FACT","code","A creator cannot feature the protocol they coach.","PRIVACY-POSITIVE: the current absence is stricter than v1.9 and satisfies §9.2 by construction. Adding Active Journey REQUIRES per-enrollment consent and must not be retroactive (V19-PRI-002).","Content macro","V19-PRI-001","high","Core card dominates; Active Journey appears only when a per-enrollment consent row exists; a legacy enrollment never appears."
"V19-PRO-002","§5.2 §5.3 / §16","Owner/visitor projection: private owner controls and Credit balance disappear in public preview","partial","P2","Two separate routes already implement the split: /me (owner, noindex,nofollow) and /u/<handle> (public, noindex,nofollow), with the public renderer gated by assertProfileDisclosesOnlyPublished(). There is no in-page 'preview as visitor' toggle and no Credit balance to hide.","OBSERVED FACT","code + headers","Owner cannot preview what a visitor sees, which is where projection mistakes get shipped.","Positive: route-level separation is stronger than a client toggle.","Content macro","none","high","Public preview renders zero owner-only controls; a forbidden-field leak test over /u/<handle> HTML+JSON passes."
"V19-PRO-003","§5.4 / §16","Other protocols are actionable: role-labelled card opens goal/commitment/version and join review","partial","P2","/u/<handle> lists published protocols with a start count sentence and links to /p/<code>. There are no role labels ('Coaches' / 'Helps manage'), no commitment summary, no version and no join-review screen - /p/<code> offers 'Build my own' and 'Remix this' (site/app.js:9536).","OBSERVED FACT","code","A visitor cannot review a protocol before committing; remix is offered instead of join.","Medium: 'Remix this' hands a stranger's compound list straight into an editable draft with no suitability review step.","UX macro","V19-BLD-007","high","Every profile protocol card opens a review screen showing goal, commitment, current version and suitability; only that screen offers Join."
"V19-PRO-004","§5.5 / §16","Accurate accomplishments; visible count and modal derive from the same collection; permission is not an accomplishment","absent","P3","No accomplishments. Deliberate: 'no rank, no percentile, no level, no badge, no score' (site/app.js:8880-8884), and assertOneAccountType bans addBadge() outright (build/parse.js:3417-3424).","OBSERVED FACT","code","n/a","Positive and build-gated. Any accomplishment work must not reintroduce addBadge().","Content macro","V19-COM-001","high","Summary count and View-all modal read the same collection; no permission record appears as an accomplishment."
"V19-AVA-001","§5.6 / §16","Avatar/Marketplace boundary: Avatar Level cosmetic and separately public; purchases cannot imply health/strength/completion","absent","P3","/marketplace 404; grep 'Avatar' site/app.js = 0.","OBSERVED FACT","prerendered + code","n/a","Do not build before §14 gates. Cosmetic muscle presentation must be labelled cosmetic and is a fabrication risk.","Content macro","V19-DIS-004","high","Avatar Level derives only from settled Credits redeemed on cosmetics; no copy links it to health, strength or completion."
"V19-AVA-002","§5.6 / §16","Real-service state machine request->quote->acceptance/reservation->fulfilment->settle/refund; no fake availability","absent","P3","No marketplace. partners table (db.js:129) and PARTNER_TYPE_ICON (site/app.js) are a different, dormant local-partner directory.","OBSERVED FACT","code","n/a","LEGAL-CLINICAL DEPENDENCY: §5.6 forbids claiming a real service is available before a provider contract exists. Constraint 1 (no brand recommendations) also bites here.","Integrator","named human gate (§14)","high","No service is listed without a provider contract record; every transition is an auditable state."
"V19-AVA-003","§5.6 / §16","Purchase before equip: idempotent purchase creates account+item-version entitlement; duplicate retry, refund, revocation safe and audited","absent","P3","No marketplace, no entitlement table.","OBSERVED FACT","code","n/a","Payment activation is explicitly unauthorized by §14.","Integrator","V19-AVA-002","high","A duplicated purchase request creates exactly one entitlement; refund unequips and preserves the ledger."
"V19-EXE-001","§6.2 / §16","Tutorial media and all current prescription dimensions visible at 1440x900","partial","P1","mountExercise (site/app.js:8682-8722) renders: two static JPEGs from cdn.jsdelivr.net/gh/yuhonas/free-exercise-db, one rx line, muscles, numbered instructions. Prescription fields present in data (measured across 873 exercises): source 873, sets 873, reps 750, tempo 750, rest 873, hold 123, cue 123. ABSENT from the page: side mode, load, effort, range, stop line, 'Today in your Plan' rail, 'Need an easier version?' text action (only bare 'Easier variation' chips).","OBSERVED FACT","hydrated + data","A participant cannot see their assigned numbers on the wiki record - the page shows the generic prescription, not their plan's.","MEDIUM: there is no stop boundary on any of the 873 exercise pages.","Content macro","V19-IA-002","high","At 1440x900 the first viewport shows media, all assigned prescription dimensions, one stop line and one dominant return control."
"V19-EXE-002","§6.3 / §16","Operational adaptation links: easier/current/next each with criteria, initiator, scope, safety blockers","partial","P2","Measured over site/exercises.js: 309/873 have regression_id, 698/873 have progression_id. NONE carry criteria, initiator, scope or blockers - the renderer emits a bare chip: '<a class=tag-chip href=#/exercise/{regression_id}>Easier variation</a>' (site/app.js:8705-8707).","OBSERVED FACT","code + data","A participant is offered a harder variation with no rule for when they have earned it.","MEDIUM: §6.3 requires a stop route to override an easier version; today neither exists,  so a person in pain is offered a progression.","Content macro","exercise schema extension","high","Every regression/progression edge carries criteria, initiator, scope and safety blockers; a stop route suppresses the easier-version offer."
"V19-EXE-003","§6.3 / §16","Anatomy boundary: front/back roles have a textual equivalent; no unsourced activation or cause inference","partial","P2","Muscles are rendered as text chips linking to /muscle/<id> (site/app.js:8700-8703) - so a text equivalent exists and there is no activation claim on the exercise page. The required boundary sentence 'This map shows regions involved. It does not measure activation or prove why pain occurs.' is NOT present: /usr/bin/grep -ac 'does not measure activation' site/app.js = 0.","OBSERVED FACT","code","A reader may read muscle chips as an activation measurement.","MEDIUM - unstated boundary on an anatomy claim.","Content macro","none","high","The authored boundary sentence renders on every exercise and body-map surface; grep proves one authored copy, not two."
"V19-EXE-004","§6.2 / §16","Versioned representative video with poster/loading/retry-error/written fallback/captions/transcript/no-surprise-autoplay","absent","P1","Measured over all 873 exercises in site/exercises.js: 0 have a video/media/videoUrl field; 873/873 have only `image`. The page instead emits an outbound link to a YOUTUBE SEARCH RESULTS PAGE: ytUrl = 'https://www.youtube.com/results?search_query=' + name + ' exercise proper form', rendered as 'Watch a form tutorial on YouTube' (site/app.js:8691, 8698). Provenance exists only in data/clinical_exercises.json:2-3 ('license: free-exercise-db (public domain / MIT images)') and is never shown to a reader.","OBSERVED FACT","code + data","The tutorial media contract is unmet on 873/873 pages, and the site's own 'form tutorial' control hands the reader to unreviewed third-party search results.","MEDIUM-HIGH: RNAwiki labels an uncontrolled YouTube query as a form tutorial. Nothing gates what that returns. This is the one place the site delegates instruction to unreviewed content. It also imports 873 images from a third-party CDN with the licence never surfaced.","Content macro","media sourcing decision by owner","high","Either (a) each exercise carries a versioned first-party asset with poster/loading/retry/captions/transcript, or (b) the YouTube-search control is removed and replaced with the written fallback plus a visible source+licence line. A build gate fails on any exercise whose media has no asset id and licence."
"V19-MOB-001","§7.2 / §16","Stretch-specific semantics: hold/cycle, sides, breathing, range, expected/not-expected sensation structured","partial","P2","123 exercises carry kind='stretch' and all 123 have prescription.hold and prescription.cue (measured). ABSENT: rounds, side mode, breathing, expected-sensation region, not-expected list (sharp pain / tingling / numbness / cramping / joint pinching). /stretch -> HTTP 404; stretches render through the same mountExercise as strength work, labelled 'Stretch / mobility'.","OBSERVED FACT","code + data","A participant is not told where they should feel it or what sensation means stop.","HIGH for a mobility page: 'Not expected: sharp pain,  tingling,  numbness' is the stop boundary and it is absent on 123/123 stretch pages.","Content macro","exercise schema extension","high","Every stretch page renders structured rounds/hold/side/breathing plus an Expected and a Not-expected block; a build gate fails a stretch missing either."
"V19-MOB-002","§7.3 / §16","No range gamification - no reward or success state for pain, deeper range, or exceeding assigned hold","existing","P3","There is no range input, no depth metric and no reward tied to range anywhere. The required principle sentence ('Do not push deeper to earn completion') is not authored, but nothing currently rewards depth. Streak rewards are per-day, not per-range (planStreak, site/app.js:5956).","OBSERVED FACT","code","Satisfied by absence.","Positive. Must be preserved when V19-MOB-001 adds range fields.","Content macro","V19-MOB-001","high","No completion, streak or Credit event is a function of range or hold beyond the assigned value; the principle sentence is authored once."
"V19-MOB-003","§7.2 / §16","Real stretch media states - same contract as Exercise","absent","P1","Same measurement as V19-EXE-004: 0 of 123 stretches have video; all use the same static free-exercise-db JPEGs and the same YouTube-search link.","OBSERVED FACT","code + data","Same as V19-EXE-004.","Same as V19-EXE-004.","Content macro","V19-EXE-004","high","Same as V19-EXE-004, applied to the 123 stretch records."
"V19-CMP-001","§8.2 / §16","Outcome-specific evidence: selector updates result, certainty, context, limitations and citations atomically","absent","P1","Measured over site/data.js: 171 compounds; 158 carry a WHOLE-COMPOUND `stars` value (e.g. Creatine Monohydrate stars=5); 0 carry per-outcome positions (`positions` is [] on every compound). There is no outcome selector: /usr/bin/grep -ac 'outcome selector' site/app.js = 0. `goals` is a flat string list ('Build muscle','Strength','Power','Brain energy') with no per-goal effect size, comparator or certainty.","OBSERVED FACT","data + code","A reader gets one star for a compound whose evidence differs enormously by outcome - creatine's strength evidence and its cognitive evidence are averaged into one number, and the page's own `evi.howStrong` text says so.","HIGH honesty risk: one star over heterogeneous outcomes overstates the weaker ones.","Content macro","OWNER DECISION - see CONTRADICTION-001","high","Selecting an outcome atomically updates bottom line, absolute result, certainty, population/comparator/duration/limitations and the selected citation; no value from another outcome persists."
"V19-CMP-002","§8.2 / §16","Exact formulation and jurisdiction: no cross-formulation evidence/action inheritance; jurisdiction source/version visible","partial","P2","regulatory_class exists and is real: data/regulatory_class.json distribution = supplement 76, prescription 35, unapproved 33, controlled 22, otc 3, pharmacy 1; renderable_count 79; needs_review_count 53. Each compound carries sg_hsa_status and a `supply` object {cls,tag,aria,why}. But 13 pages are multi-compound BUNDLES (the '(brief)' set) and the site itself documents cross-member confusion: the PubChem chip needed a 'This structure is X only - one of the compounds named in the title of this page, not the page as a whole' disclaimer (site/app.js:1141-1143). No source version is shown for the regulatory record.","OBSERVED FACT","data + code","On 13 pages one evidence star and one regulatory class cover several distinct formulations.","MEDIUM: a bundle page can inherit a supplement access category onto a member that is not one.","Content macro","V19-CMP-001","high","No bundle page renders one star, one class or one action for multiple formulations; each shows its own record and version."
"V19-CMP-003","§8.3 / §16","Layered mechanism: mental model -> ordered pathway -> technical details -> 'does not prove' boundary","existing","P3","Compound pages render a 7-chapter course (measured hydrated /c/creatine: 20 headings, 7 chapters, 4,478 words) including bigIdea/analogy (mental model), mechSteps (ordered pathway), tech/targets (technical), and the interaction panel carries an explicit boundary: 'Combined pathway/target overlap is an educational signal, not a safety clearance. Interactions require a clinician.' (site/app.js:3518).","OBSERVED FACT","hydrated + code","Already strong. This is the best-served requirement in the matrix.","Positive.","none","none","high","All four layers render in order with the boundary sentence present; already passing."
