id,wave,group,severity,claim_type,finding,evidence_kind,evidence_locator,document,measured_value,expected_or_spec,spec_ref,status,confidence,contradicts,owner_decision_needed,notes
EV-A011,A,repo+live,P2,OBSERVED,"The entire Protocol Studio is absent from production: /studio, /me and /p/<code> all 404, and POST/GET /api/protocols/check returns 404",live-url,"https://rnawiki.com/studio, /me, /p/abc123, /api/protocols/check",prerendered,"all 404 on prod; all 200 on localhost:8099 (branch). /api/protocols/check → 404 {\"error\":\"Not found\"}",n/a — scoping fact,git log origin/main..HEAD (27 commits),existing,verified,,no,"Any v1.9 finding about the Studio describes the branch, not the live site. State the origin in every such finding."
EV-A012,A,repo+live,P2,OBSERVED,"/p/<code> — the share URL POST /api/protocols mints — has no hydrated-DOM smoke coverage",repo-path,scripts/smoke.mjs:57-180 const ROUTES,n/a,"49 [name,route] template classes; grep -ac \"'/p/\" scripts/smoke.mjs = 0. /studio, /me and /u/smoke-nobody ARE covered.",AGENT_RULES: prove a new gate by reintroducing the original bug; boot the server and hit real routes,AGENT_RULES.md:66-68,absent,verified,,no,"/p/ was answering 404 until 2026-08-10 (server.js:2907-2913) — precisely the class of bug a smoke route catches."
EV-A013,A,repo+live,P2,OBSERVED,"There is no CI and no git hook. The 52 build gates run only via Railway's prestart; the 49-route hydrated smoke test runs only when a human types npm run smoke.",repo-path,".github/workflows/ (1 file: backup-community.yml); .git/hooks/ has no non-sample hook",n/a,"build gates: 22 IIFE asserts in build/parse.js + 30 in build/prerender.js = 52; 54 distinct assert* names",AGENT_RULES: prefer build-time generation + automated gates over recurring manual work,AGENT_RULES.md:44,partial,verified,brief says '58 build checks' and '52 smoke page types',no,"Measured numbers: 52 gates / 49 smoke template classes. Do not quote 58/52."
EV-A014,A,repo+live,P2,OBSERVED,"puppeteer-core is required by scripts/smoke.mjs and by the QA harness but is not declared in package.json; a clean npm ci yields a repo whose own test command cannot run",repo-path,"package.json (dependencies: pg, @resvg/resvg-js only); scripts/smoke.mjs imports puppeteer-core",n/a,"2 declared dependencies, 0 devDependencies, 94 node_modules entries",n/a,package.json,absent,verified,,no,
EV-A015,A,repo+live,P2,OBSERVED,"13 SPA-only routes serve the HOME PAGE head (title 67 chars, homepage description, canonical https://rnawiki.com/) in the PRERENDERED document while the HYDRATED document has a correct head",both,"/admin /clinic /exercise /fork /me /p/<code> /pro /progress /pros /s /stewardship /studio /u/<handle>",both,"PRE: title='RNAwiki — translate the code of human performance into real results' (67 chars). HYD /studio='Protocol Studio — build a protocol and have it checked · RNAwiki'; /me='Your page — what you follow and what you built · RNAwiki'; /u/felix='@felix · RNAwiki'",v1.9 §13.1 exact metadata patterns,RNAwiki_Unified_Desktop_Experience_v1_9_Spec.md:814-828,partial,verified,,no,"Matters only on the 3 routes that are not noindexed (/clinic /exercise /fork). Classic two-document split: here the HYDRATED doc is the correct one."
EV-A016,A,repo+live,P2,OBSERVED,"No public profile emits ProfilePage or Person JSON-LD on either origin",live-url,"https://rnawiki.com/u/felix and http://localhost:8099/u/felix",hydrated,"JSON-LD @type present = ['WebSite'] on both",v1.9 §13.3 Public profile: ProfilePage with one Person or Organization mainEntity using only public allowlisted fields,RNAwiki_Unified_Desktop_Experience_v1_9_Spec.md:839,absent,verified,,no,
EV-A017,A,repo+live,P2,OBSERVED,"52 fully prerendered /fuel/<problem>/<root-cause> pages carry robots noindex,follow and are absent from sitemap.xml",both,"site/fuel/ (52 dirs); site/sitemap.xml 568 <loc>; find site -name '*.html' = 621",both,"all 52 return 200, robots='noindex,follow', correct self-canonical, correct specific title, BreadcrumbList|ListItem|WebPage JSON-LD",n/a — appears deliberate,site/sitemap.xml vs site/fuel/,existing,verified,,yes,"PRODUCT DECISION to confirm, not a defect. Cost: 52 authored pages carry no index signal. 621 prerendered files − 568 sitemap = 53 (52 fuel + site/home.html fragment)."
EV-A018,A,repo+live,P2,OBSERVED,"sitemap.xml publishes ONE distinct <lastmod> value (2026-08-09) across all 568 URLs on both origins, although the per-route change-detection mechanism is real and working",both,"site/sitemap.xml; build/lastmod.json; build/prerender.js:3189-3243",prerendered,"568 <loc>, 568 <lastmod>, 1 distinct value '2026-08-09'. build/lastmod.json: 568 entries of [content-hash, date] with 567 DISTINCT hashes.",v1.9 §13.4 lastmod changes only for a material content/review update never a deployment timestamp,RNAwiki_Unified_Desktop_Experience_v1_9_Spec.md:847,partial,verified,,no,"Mechanism SATISFIES the spec; the published state does not DEMONSTRATE it and is externally indistinguishable from a build stamp. prerender.js:3194 itself notes Google ignores lastmod when all values are identical. Re-measure after the next partial content change."
EV-A019,A,repo+live,P2,OBSERVED,"Half the build output is gitignored and half is committed: site/data.js (11,874,630 B), site/app.js, site/exercises.js, 41 site/problem/ and 52 site/fuel/ HTML files are tracked, while site/c/ site/target/ site/protocol/ site/compare/ etc are ignored",repo-path,".gitignore; git ls-files (201 tracked files)",n/a,"largest tracked blob = site/data.js at 11,874,630 B; 93 tracked prerendered HTML files",repo CLAUDE.md states 'site/ is ephemeral — regenerated at boot by prestart',rnawiki/CLAUDE.md,contradictory,verified,repo CLAUDE.md 'site/ is ephemeral',no,"Every content change produces an ~11.9 MB diff, and a stale committed copy is possible at any moment."
EV-A020,A,repo+live,P3,OBSERVED,"Four hand-maintained route lists must agree and only one pair is gated",repo-path,"server.js:2900 SPA_ONLY_ROUTES; server.js:2944 NOINDEX_ROUTES; site/app.js PRIVATE_ROUTES; app.js route() parts[0] branches",n/a,"assertPrivateRoutesAgree() gates server↔app noindex ONLY. Nothing gates SPA_ONLY_ROUTES against app.js route(), and nothing gates that personal/thin routes appear in both lists.",AGENT_RULES: gate the defect class,AGENT_RULES.md:68,partial,verified,,no,"This is the exact mechanism that produced EV-A004. server.js:2896-2899 already warns about drift in this list."
EV-A021,A,repo+live,P3,OBSERVED,"Route universe grew from 564 (W0, 2026-08-01) to 568; the growth is entirely /compare (120 → 124)",both,"site/sitemap.xml vs W0_BASELINE.md §1",prerendered,"568 <loc>; /c 171, /compare 124, /target 103, /protocol 52, /problem 41, /muscle 17, /goal 16, /pathway 16, /learn 6, /physiology 4, /energy 3, /body 2, singletons 13",n/a,W0_BASELINE.md:15-35,existing,verified,W0 baseline count of 564,no,"Any v1.9 finding quoting '564 routes' should be restated as 568. Full inventory: audit/v19/live_route_inventory.csv"
EV-A022,A,repo+live,P3,RESOLVED,"W0 open question 1 is closed: production API endpoints do NOT 503 — the 503s are a localhost-without-Postgres artefact",live-url,"https://rnawiki.com/api/me, /api/rootcause-overlay, /api/stats, /api/config",n/a,"PROD: /api/me 200 {\"user\":null}; /api/rootcause-overlay 200 {\"overlay\":[]}; /api/stats 200; /api/config 200 dbEnabled:true. LOCAL: all 503 'Accounts are not available right now.'",W0 §5.1 'Whether production 503s too is not established',W0_BASELINE.md:597-601,existing,verified,,no,"W0 D42 stands as a localhost artefact only. Do not carry '503 on 564/564' into a v1.9 finding about production."
EV-A023,A,repo+live,P3,RESOLVED,"W0 open question 2 is closed: production compression and caching measured. Brotli is live on all 631 HTML routes and all static assets; assets carry ETag+Last-Modified+max-age=14400; HTML carries no validator.",live-url,"curl -I https://rnawiki.com/{data.js,app.js,styles.css,sitemap.xml,robots.txt} and 631 HTML routes",prerendered,"data.js encoded 2,411,882 B (br) vs W0's 11,662,047 B uncompressed",W0 §5.2 'Not measurable from localhost. Needs one production curl -I',W0_BASELINE.md:601-603,existing,verified,W0 D22/E12 'zero compression on the wire',no,"W0 D22 is FIXED on production. The 8.80 MB per-load saving W0 said was 'not taken' HAS been taken."
EV-A024,A,repo+live,P3,OBSERVED,"AGENT_RULES.md and repo CLAUDE.md carry stale size figures that under-state the files every other wave must edit",repo-path,"AGENT_RULES.md:71; rnawiki/CLAUDE.md",n/a,"MEASURED: site/app.js 10,286 lines / 899,877 B (rules say 6,307 / 577 KB); server.js 3,157 lines (rules say 2,025); styles.css 401,505 B (rules say 298 KB)",n/a,wc -l on 2026-08-11,contradictory,verified,"AGENT_RULES.md:71 and rnawiki/CLAUDE.md file sizes",no,"The measurement traps and the #/route hash-router warning in AGENT_RULES remain correct and load-bearing. Only the sizes are stale."
EV-A025,A,repo+live,P3,OBSERVED,"qa/probe.mjs reports anchorDead by counting #/route hash-ROUTER links as dead in-page anchors",repo-path,/Users/admin/.claude/jobs/b8afc277/tmp/qa/probe.mjs,hydrated,"probe.mjs on /studio reports anchorDead:6 with deadSample ['#/','#/solve','#/where','#/plan','#/learn','#/'] — all six are SPA router navigations, true dead-anchor count 0",AGENT_RULES §5 'Counting #/ links as dead anchors is a known error that already produced a false finding',AGENT_RULES.md:34-36,contradictory,verified,,no,"HARNESS WARNING for every downstream wave: do NOT quote probe.mjs's anchorDead field. Same error class as W0 errata E1 and E22."
EV-A026,A,repo+live,P3,OBSERVED,"The landing headline is still 'Turned away, priced out, or told it was nothing.'; the owner's new direction is not implemented. The protocol search bar the owner required IS present (3 search forms, all action=/solve).",both,"http://localhost:8099/ and https://rnawiki.com/",both,"h1='Turned away, priced out, or told it was nothing.' on both origins, prerendered and hydrated. Forms: <form class=\"tb-search\" action=\"/solve\">, 2× <form class=\"lp-form\" action=\"/solve\">. 1,277 prerendered words / 1,226 hydrated.",owner decision 2026-08-11: 'the current healthcare is accessible for all but effective for none' + full landing revamp with diagrams and illustrations,task brief · owner decisions,absent,verified,,yes,"Copy is generated by build/landing.js and gated by assertLandingPage(). A revamp must go through that gate."
EV-A027,A,repo+live,P3,OBSERVED,"prestart is now a hard gate for BOTH parse.js and prerender.js; repo CLAUDE.md still describes a '|| echo' that swallows prerender failures",repo-path,package.json prestart,n/a,"prestart = node build/parse.js && node build/prerender.js && node scripts/anatomy/copy-assets.mjs && node build/precompress.js — no || echo anywhere",repo CLAUDE.md: 'the || echo is scoped to the parenthesised prerender group … Only prerender.js failures are swallowed',rnawiki/CLAUDE.md,contradictory,verified,rnawiki/CLAUDE.md description of prestart,no,"Good news, recorded so nobody re-adds the || echo believing it is still there."
EV-A028,A,repo+live,P0,OBSERVED,"Pixel proof for EV-A001/A002: production screenshots of /u/felix, /pros and /stewardship are BYTE-IDENTICAL to the home page screenshot",screenshot,"qa/out/w19/{prod-home,prod-pros,prod-stew,prod-u-felix}.png",hydrated,"all four md5 = b1a304f48efaff04425236e716e25750 at 1280x900; /progress differs (ad3ed4b83d06b261b360ced9535b49d2) because it renders its own thin state",v1.9 §13.2 near-duplicate pages use noindex-follow,RNAwiki_Unified_Desktop_Experience_v1_9_Spec.md:833,contradictory,verified,,no,"Independent of DOM parsing: three production URL spaces render the home page pixel-for-pixel at HTTP 200 with index,follow."
