page_type,spec_ref,route_pattern,pages_built,spec_title_template_EXACT,spec_description_template_EXACT,current_title_template_MEASURED,current_description_source_MEASURED,index_gate,canonical_rule,schema_type_required,schema_type_MEASURED,ugc_rel_rule,sitemap_membership,lastmod_rule,404_behaviour_required,404_behaviour_MEASURED,forbidden_private_fields,status,evidence
Pathway,13.2,/pathway/<n>,16,not specified,not specified,"{Pathway} pathway explained · RNAwiki","{Pathway} — {one-line}",Index,Self-canonical 16/16,not specified,WebPage + BreadcrumbList (16/16),none,16/16,Material update only,Real HTTP 404,not tested,none,PASS,python scan
Muscle,13.2,/muscle/<slug>,17,not specified,not specified,"{Muscle}: anatomy, function and training · RNAwiki",authored lead 147-155 chars,Index,Self-canonical 17/17,not specified,WebPage + BreadcrumbList (17/17),none,17/17,Material update only,Real HTTP 404,not tested,none,PASS,python scan
Nutrition / fuel,13.2 / V19-NUT-001,/fuel/<problem>/<cause>,52,not specified,not specified,"Fuel · {Problem}: {cause} · RNAwiki","Daily nutrient targets for {problem} ({cause}), why each one, and the everyday foods that hit them.","noindex,follow (52/52) — deliberate: overlapping utility view",Self-canonical 52/52,not specified,WebPage + BreadcrumbList (52/52),none,"0/52 — correctly ABSENT from sitemap",n/a while noindexed,Real HTTP 404,not tested,"the viewer's own intake log",PASS — this is the reference pattern for noindex routes,"prerender.js:1741-1753; 0 <loc> entries; robots content='noindex,follow'"
Learn module,13.2,/learn/<n>,5,not specified,not specified,"{Module title} · RNAwiki","Foundations: MODULE {n} — {title}  (63 to 97 chars — thin, machine-shaped)",Index,Self-canonical 5/5,not specified,WebPage + BreadcrumbList (5/5),7 external links,5/5,Material update only,Real HTTP 404,not tested,none,defect — descriptions are templated stubs well under the 155 budget,"prerender.js:2193 desc: `Foundations: ${m.title}`"
Body / 3D region,13.2,/body and /body/<region>,2,not specified,not specified,"Interactive 3D body: the muscles and how they move · RNAwiki",identical 143-char string on both,Index,"DEFECT: /body canonicalises to /body/leg AND both are in the sitemap; titles and descriptions are byte-identical","WebPage + BreadcrumbList","WebPage + BreadcrumbList (2/2)",none,2/2 — /body should not be,Material update only,Real HTTP 404,not tested,none,defect — canonicalised-away URL is in the sitemap,"prerender.js:2297-2307 removed the noindex on purpose and left the cross-canonical; site/body.html canonical=https://rnawiki.com/body/leg"
Home,13.2,/,1,not specified,not specified,"RNAwiki — Stop guessing, start solving. Root-cause protocols",145-char authored string,Index,Self-canonical,WebSite + Organization,WebSite + Organization + BreadcrumbList + SearchAction + EntryPoint + ListItem,none,in sitemap,Material update only,n/a,n/a,none,PASS — but the shell at site/index.html carries a DIFFERENT title/description from the served /,"site/index.html title 'RNAwiki — translate the code of human performance into real results' vs site/home.html served title"
Index / utility singletons,13.2,"/solve /az /browse /about /learn /pathways /legend /compare /anatomy /plan /stack /where /methodology /corrections",14,not specified,not specified,varied authored,varied authored 114-155 chars,Index,Self-canonical 14/14,WebPage + BreadcrumbList,WebPage + BreadcrumbList (14/14),none,14/14,Material update only,Real HTTP 404,Real HTTP 404 with X-Robots-Tag noindex,none,PASS,python scan
Protocol Studio (builder),13 preamble,/studio,1 (shell),n/a — never indexable,n/a,"Protocol Studio — build a protocol and have it checked · RNAwiki",174-char string,Never indexable,n/a,none,WebSite (SPA shell),n/a,MUST be absent — verified absent,n/a,n/a,"200 with noindex,nofollow (correct)","everything a builder holds: the viewer's own compounds, doses, interactions",PASS,"curl X-Robots-Tag: noindex, nofollow; grep sitemap => 0"
Community home,13 preamble / 4.2,/community,0,n/a — authenticated Community is never indexable,n/a,NOT IMPLEMENTED,none,Never indexable,n/a,none,none,"external links in posts require rel=""ugc nofollow""",MUST be absent,n/a,Real HTTP 404,could-not-check,"other participants' Day/streak beyond what they consented to; any symptom or medicine",absent,no route serves /community
Protocol Discussion,13.3 / 4.3,/discussion/<protocol>,0,not specified,not specified,NOT IMPLEMENTED,none,"QAPage or DiscussionForumPosting ONLY on a genuinely public, index-eligible question with visible authored content — never on dashboards, filters, synthetic summaries or private threads",Self-canonical when public,QAPage or DiscussionForumPosting (conditional),none,"rel=""ugc nofollow"" on every user external link; ""sponsored"" if paid",Only when public and index-eligible,Material update only,Real HTTP 404,could-not-check,"the asker's symptoms; any medicine name in a private thread; safety-corpus questions must never post publicly (V19-DIS-005)",absent,"explain_posts threaded comments exist in db.js but no public discussion route"
Any URL carrying a query string,13.2,"/<any>?utm_source=… ?q=…",n/a,n/a,n/a,unchanged from the base route,unchanged,"noindex,follow via X-Robots-Tag","Self-canonical with all query/state STRIPPED — verified",same as base,same as base,n/a,not applicable,n/a,n/a,"HTTP 200 + X-Robots-Tag: noindex, follow + canonical without params — CORRECT","the /solve?q=<typed symptom> URL must never reach analytics, logs exposed to analytics, or a cached public HTML",PASS — this is the strongest single SEO control on the site,"curl '/c/creatine-monohydrate?utm_source=x' => X-Robots-Tag: noindex, follow; canonical=https://rnawiki.com/c/creatine-monohydrate. server.js:72"
sitemap.xml,13.4,/sitemap.xml,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,568 <loc> entries,"DEFECT: all 568 lastmod values are 2026-08-09 — a single build date. build/lastmod.json holds 568 routes, all one date.",n/a,"HTTP 200, Content-Type: application/xml; charset=utf-8 — CORRECT MIME",n/a,defect — uniform lastmod defeats the mechanism that exists to prevent it,"grep -o '<lastmod>[^<]*' | sort | uniq -c => 568 2026-08-09; node -e over build/lastmod.json => {'2026-08-09': 568}"
robots.txt,13.4,/robots.txt,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"HTTP 200, text/plain. Body: User-agent: * / Allow: / / Sitemap: https://rnawiki.com/sitemap.xml","MUST NOT Disallow a noindex route — a disallowed URL is never fetched so its noindex is never read (server.js:61 documents this correctly)",PASS,cat site/robots.txt
