page_a,page_b,first_pass_reason,second_verdict,second_evidence,confidence,classification,reach,tier,licence_ground,resolved_page_b,page_b_source,name_a,name_b,exception_classes,corpus_confirms,existing_relations,first_pass_actions
K1:1PIO77PW2X,K1:XGF7L72M0F,the evidence links the two pages but no rule in the spec's order decides them,separate,R9c Fish Oil and Fish are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:XGF7L72M0F,page_b,Fish,Fish Oil,,,,remainder
K1:1XU104G55N,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:P4SG24WI5Q -> K1:1XU104G55N; the two names denote one live page (Colesevelam),high,NOT-LICENSED,indexable,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Colesevelam,,,,,
K1:1XU104G55N,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:P4SG24WI5Q -> K1:1XU104G55N; the two names denote one live page (Colesevelam),high,NOT-LICENSED,indexable,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Colesevelam,,,,,
K1:1Y17CTI5SR,K3:CHEMBL2108974,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies",merge,R7 §3.1/§3.1a salt or hydrate on the register's printed name: INSULIN HUMAN ZINC = Insulin human + zinc,medium,NOT-LICENSED,indexable,1,a merge at medium confidence,K3:CHEMBL2108974,page_b,Insulin human,INSULIN HUMAN ZINC,,,,review
K1:241ATL177A,K1:L7HT8F1ZOD,the evidence links the two pages but no rule in the spec's order decides them,separate,R9c Soybean Oil and Soybean are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:L7HT8F1ZOD,page_b,Soybean Oil,Soybean,,,,remainder
K1:26GW6E5M72,K1:M4F288ZCTR,the evidence links the two pages but no rule in the spec's order decides them,merge,R7 §3.1/§3.1a salt or hydrate on the register's printed name: HEPARIN CALCIUM = Heparin (PORCINE; 7000 MW) + calcium,medium,NOT-LICENSED,indexable,1,a merge at medium confidence,K1:M4F288ZCTR,page_b,Heparin (PORCINE; 7000 MW),HEPARIN CALCIUM,,,,remainder
K1:3LE3D9D6OY,K1:G2SH0XKK91,the evidence links the two pages but no rule in the spec's order decides them,merge,R5 FDA active moiety: GSRS gives Retinol (81G40H8B0T) as the active moiety of Vitamin A Acetate,medium,NOT-LICENSED,indexable,1,a merge at medium confidence,K1:G2SH0XKK91,page_b,Vitamin A Acetate,Retinol,ester,structure_conflict,,remainder
K1:411VRN1TV4,K1:8M4L3H2ZVZ,the evidence links the two pages but no rule in the spec's order decides them,separate,R4z shared parent GRYLNZFGIOXLOG has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:8M4L3H2ZVZ,page_b,Nitric Acid,SODIUM NITRATE,,structure_conflict,,remainder
K1:411VRN1TV4,K1:RU45X2JN0Z,the evidence links the two pages but no rule in the spec's order decides them,separate,R4z shared parent GRYLNZFGIOXLOG has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:RU45X2JN0Z,page_b,Nitric Acid,Potassium Nitrate,,structure_conflict,,remainder
K1:438HCF2X0M,K1:L7CHH2B2J0,the evidence links the two pages but no rule in the spec's order decides them,merge,R7 §3.1/§3.1a salt or hydrate on the register's printed name: DEFIBROTIDE SODIUM = Defibrotide (BOVINE) + sodium,medium,NOT-LICENSED,indexable,1,a merge at medium confidence,K1:L7CHH2B2J0,page_b,Defibrotide (BOVINE),DEFIBROTIDE SODIUM,,,,remainder
K1:45P3261C7T,K1:BQN1B9B9HA,the evidence links the two pages but no rule in the spec's order decides them,separate,"R4y both are salts of BVKZGUZCCUSVTD; neither page is that parent moiety; §3.1 merges a salt into its parent, and that parent is not either of these two pages",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:BQN1B9B9HA,page_b,Sodium Carbonate,Potassium Carbonate,,structure_conflict,,remainder
K1:45P3261C7T,K1:H0G9379FGK,the evidence links the two pages but no rule in the spec's order decides them,separate,"R4y both are salts of BVKZGUZCCUSVTD; neither page is that parent moiety; §3.1 merges a salt into its parent, and that parent is not either of these two pages",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:H0G9379FGK,page_b,Sodium Carbonate,Calcium Carbonate,,structure_conflict,,remainder
K1:4G4WDK2YBS,K1:94ZLA3W45F,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6 the GSRS record on K1:4G4WDK2YBS is a mixed salt whose active moiety is ZOFENOPRILAT (4G4WDK2YBS); Arginine is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:94ZLA3W45F,page_b,ZOFENOPRILAT,Arginine,,structure_conflict,related_form_of,remainder
K1:4T6H12BN9U,K1:B6E5W8RQJ4,the evidence links the two pages but no rule in the spec's order decides them,separate,"R9a two separately registered FDA substances: Petrolatum ['4T6H12BN9U'] and White Petrolatum ['B6E5W8RQJ4'], preferred names PETROLATUM and WHITE PETROLATUM; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:B6E5W8RQJ4,page_b,Petrolatum,White Petrolatum,,,,remainder
K1:5138Q19F1X,K1:67M901L9NQ,the evidence links the two pages but no rule in the spec's order decides them,separate,"R4w Ammonia appears only as a fragment of Ammonium Lactate, not as its parent moiety",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:67M901L9NQ,page_b,Ammonia,Ammonium Lactate,,structure_conflict,,remainder
K1:5138Q19F1X,K1:AC80WD7GPF,the evidence links the two pages but no rule in the spec's order decides them,separate,"R4w Ammonia appears only as a fragment of Ammonium Benzoate, not as its parent moiety",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:AC80WD7GPF,page_b,Ammonia,Ammonium Benzoate,,structure_conflict,,remainder
K1:5138Q19F1X,K1:R0JB3224WS,the evidence links the two pages but no rule in the spec's order decides them,separate,R4z shared parent QGZKDVFQNNGYKY has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:R0JB3224WS,page_b,Ammonia,Ammonium Bromide,,structure_conflict,,remainder
K1:53AXN4NNHX,K2:UCZDWGAJSOUHOU-VDBPWWIZSA-N,the evidence links the two pages but no rule in the spec's order decides them,separate,"R9a two separately registered FDA substances: Semaglutide ['53AXN4NNHX'] and GLP-1 ['0JS9125PIZ'], preferred names Semaglutide and GLUCAGON-LIKE PEPTIDE-I(7-36) AMIDE; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K2:UCZDWGAJSOUHOU-VDBPWWIZSA-N,page_b,Semaglutide,GLP-1,,structure_conflict,,remainder
K1:69PN84IO1A,K1:91XW058U2C,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R8s the two held structures settle it: different skeletons GBXSMTUPTTWBMN vs VZCYOOQTPOCHFL; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:91XW058U2C,page_b,Enalapril,MALEIC ACID,,structure_conflict,related_form_of,remainder
K1:6QT214X4XU,K1:R16CO5Y76E,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",merge,R5 FDA active moiety: GSRS gives ASA (R16CO5Y76E) as the active moiety of Aloxiprin,medium,NOT-LICENSED,indexable,1,a merge at medium confidence,K1:R16CO5Y76E,page_b,Aloxiprin,ASA,,structure_conflict; moiety_match,related_form_of,remainder
K1:75IZZ8Y727,K1:N20HL7Q941,the evidence links the two pages but no rule in the spec's order decides them,separate,R9c Camphor Oil and Camphor are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:N20HL7Q941,page_b,Camphor Oil,Camphor,,,,remainder
K1:76LA80IG2G,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:1H87NVF4DB -> K1:76LA80IG2G; the two names denote one live page (Glucagon),high,NOT-LICENSED,indexable,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Glucagon,,,,,
K1:76LA80IG2G,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:1H87NVF4DB -> K1:76LA80IG2G; the two names denote one live page (Glucagon),high,NOT-LICENSED,indexable,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Glucagon,,,,,
K1:7GB7U7M282,K1:OF5P57N2ZX,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons OOJZCXFXPZGUBJ vs QNAYBMKLOCPYGJ; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:OF5P57N2ZX,page_b,Hypoglycine A,Alanine,,structure_conflict,,remainder
K1:7QWA1RIO01,K2:ZAKOWWREFLAJOT-ADUHFSDSSA-N,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons GVJHHUAWPYXKBD vs ZAKOWWREFLAJOT; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K2:ZAKOWWREFLAJOT-ADUHFSDSSA-N,page_b,Alpha-Tocopherol,TOCOPHEROL ACETATE,,structure_conflict,,remainder
K1:7UJQ5OPE7D,K1:8MDF5V39QO,the evidence links the two pages but no rule in the spec's order decides them,separate,R4z shared parent BVKZGUZCCUSVTD has 1 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:8MDF5V39QO,page_b,Carbonate Ion,Sodium Bicarbonate,,structure_conflict,,remainder
K1:7UJQ5OPE7D,K1:HM5Z15LEBN,the evidence links the two pages but no rule in the spec's order decides them,separate,R4z shared parent BVKZGUZCCUSVTD has 1 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:HM5Z15LEBN,page_b,Carbonate Ion,Potassium Bicarbonate,,structure_conflict,,remainder
K1:7UP781YBR6,K1:N91BDP6H0X,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6d GSRS names Choline as the parent substance of Salcolex Anhydrous, yet nothing in the names or structures makes one a salt or solvate of the other; the link runs through a coformer",medium,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:N91BDP6H0X,page_b,Salcolex Anhydrous,Choline,,structure_conflict; moiety_match,related_form_of,remainder
K1:884KT10YB7,K1:XF417D3PSL,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6 the GSRS record on K1:884KT10YB7 is a mixed salt whose active moiety is Ranitidine (884KT10YB7); Anhydrous Citric Acid is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:XF417D3PSL,page_b,Ranitidine,Anhydrous Citric Acid,,structure_conflict,related_form_of,remainder
K1:8MDF5V39QO,K1:NPT6P8P3UU,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons BVKZGUZCCUSVTD vs FEWJPZIEWOKRBE; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:NPT6P8P3UU,page_b,Sodium Bicarbonate,Potassium Bitartrate,,structure_conflict,,remainder
K1:8QTV3DTT8W,K4:chondroitin,the evidence links the two pages but no rule in the spec's order decides them,merge,R7 §3.1/§3.1a salt or hydrate on the register's printed name: Chondroitin Sulfate Sodium (BOVINE) = Chondroitin + sulfate/sodium,medium,NOT-LICENSED,indexable,1,a merge at medium confidence,K4:chondroitin,page_b,Chondroitin Sulfate Sodium (BOVINE),Chondroitin,,,,remainder
K1:941N5DUU5C,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:GLS2PGI8QG -> K1:941N5DUU5C; the two names denote one live page (Sevelamer),high,NOT-LICENSED,indexable,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Sevelamer,,,,,
K1:941N5DUU5C,K1:9YCX42I8IU,same normalised name and no structure on either page; the identity rules give no evidence that decides them,merge,R5 FDA active moiety: GSRS gives Sevelamer (941N5DUU5C) as the active moiety of Sevelamer Carbonate; Sevelamer Carbonate = Sevelamer + carbonate,high,NOT-LICENSED,indexable,1,an FDA active-moiety match with no largest-fragment match to confirm it,K1:9YCX42I8IU,page_b,Sevelamer,Sevelamer Carbonate,,moiety_match,,review
K1:94ZLA3W45F,K4:arginine l malate,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies",merge,R7 §3.1/§3.1a salt or hydrate on the register's printed name: Arginine-L-Malate = Arginine + malate,medium,NOT-LICENSED,indexable,1,a merge at medium confidence,K4:arginine l malate,page_b,Arginine,Arginine-L-Malate,,,,review
K1:94ZLA3W45F,K4:arginine orotate,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies",separate,R9 no shared identifier and no structure pair to compare (Arginine vs Arginine Orotate); UNIIs ['94ZLA3W45F'] vs none; InChIKeys ODKSFYDXXFIFQN-BYPYZUCNSA-N vs none,low,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K4:arginine orotate,page_b,Arginine,Arginine Orotate,,,,review
K1:9U6A490501,K2:ZAKOWWREFLAJOT-ADUHFSDSSA-N,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons WGVKWNUPNGFDFJ vs ZAKOWWREFLAJOT; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K2:ZAKOWWREFLAJOT-ADUHFSDSSA-N,page_b,.BETA.-TOCOPHEROL,TOCOPHEROL ACETATE,,structure_conflict,,remainder
K1:BGF9MN2HU1,K1:N91BDP6H0X,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6 the GSRS record on K1:BGF9MN2HU1 is a mixed salt whose active moiety is Fenofibric Acid (BGF9MN2HU1); Choline is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:N91BDP6H0X,page_b,Fenofibric Acid,Choline,,structure_conflict,related_form_of,remainder
K1:BQN1B9B9HA,,"two pages collide on a display name and nothing recorded for them - substance class, primary target, stereo descriptor, UNII or structure - tells one from the other",separate,"R0b distinct substances sharing the normalised name 'potassium': Potassium Carbonate (BWHMMNNQKKPAPP-UHFFFAOYSA-L) against POTASSIUM CITRATE, POTASSIUM CITRATE ANHYDROUS, POTASSIUM GLUCONATE, POTASSIUM SALICYLATE; disambiguate on the display name, do not merge",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,,none recorded,Potassium Carbonate,,,,,
K1:C5529G5JPQ,K1:SAS9Z1SVUK,the evidence links the two pages but no rule in the spec's order decides them,separate,R9c Ginger Oil and Ginger are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:SAS9Z1SVUK,page_b,Ginger,Ginger Oil,,,,remainder
K1:DJJ95FJP1H,K1:N91BDP6H0X,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6d GSRS names Choline as the parent substance of CHOLINE MAGNESIUM TRISALICYLATE, yet nothing in the names or structures makes one a salt or solvate of the other; the link runs through a coformer",medium,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:N91BDP6H0X,page_b,CHOLINE MAGNESIUM TRISALICYLATE,Choline,,structure_conflict; moiety_match,related_form_of,remainder
K1:E6S1NJ4Y5Q,K1:SMD1X3XO9M,the evidence links the two pages but no rule in the spec's order decides them,separate,"R9a two separately registered FDA substances: CELLULOSE SODIUM PHOSPHATE ['E6S1NJ4Y5Q'] and Powdered Cellulose ['SMD1X3XO9M'], preferred names CELLULOSE SODIUM PHOSPHATE and POWDERED CELLULOSE; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:SMD1X3XO9M,page_b,CELLULOSE SODIUM PHOSPHATE,Powdered Cellulose,,,,remainder
K1:EAO03PE1TC,K1:2WTB3V159F,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R9a two separately registered FDA substances: SODIUM NITROPRUSSIDE ['EAO03PE1TC'] and Hydrogen Cyanide ['2WTB3V159F'], preferred names Sodium nitroprusside and Hydrogen cyanide; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:2WTB3V159F,page_b,Hydrogen Cyanide,SODIUM NITROPRUSSIDE,,structure_conflict,related_form_of,
K1:F60NE4XB53,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:2AW48LAZ4I -> K1:F60NE4XB53; the two names denote one live page (Imetelstat),high,NOT-LICENSED,indexable,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Imetelstat,,,,,
K1:F6A27P4Q4R,K1:H6241UJ22B,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons MCAHWIHFGHIESP vs BUGBHKTXTAQXES; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:H6241UJ22B,page_b,Selenious Acid,Selenium,,structure_conflict,,remainder
K1:FB33469R8E,K2:GJUHUIXJLZINMA-MJCUULBUSA-N,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons PROQIPRRNZUXQM vs GJUHUIXJLZINMA; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K2:GJUHUIXJLZINMA-MJCUULBUSA-N,page_b,Estriol,ESTROGEN,,structure_conflict,,remainder
K1:FD57A79R4P,K1:N91BDP6H0X,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6a GSRS names Choline as the parent substance of TIOMOLIBDATE CHOLINE, but it records the active moiety as TIOMOLIBDIC ACID (206J6X63BE); the counter-ion is the substance being recorded",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:N91BDP6H0X,page_b,TIOMOLIBDATE CHOLINE,Choline,,structure_conflict; moiety_match,related_form_of,remainder
K1:FO2303MNI2,K1:L99N5N533T,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons LDCRTTXIJACKKU vs OTMSDBZUPAUEDD; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:L99N5N533T,page_b,DIMETHYL FUMARATE,Ethane,,structure_conflict,,remainder
K1:I3T12NR296,K1:YEH1EZ96K6,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons MCKJPJYRCPANCC vs DMKSVUSAATWOCU; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:YEH1EZ96K6,page_b,Prednienic Acid,Loteprednol Etabonate,,structure_conflict,,remainder
K1:IU5QR144QX,K2:GJUHUIXJLZINMA-MJCUULBUSA-N,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,merge,R1 identical UNII IU5QR144QX; one page holds no structure of its own; §2 keys biologics and name-only records on UNII alone,high,NOT-LICENSED,indexable,1,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",K2:GJUHUIXJLZINMA-MJCUULBUSA-N,page_b,"Estrogens, Conjugated",ESTROGEN,,same_unii; structure_conflict; moiety_match,,remainder
K1:JGK960078D,K1:TE7660XO1C,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R9a two separately registered FDA substances: FERROGLYCINE SULFATE ['JGK960078D'] and Glycine ['681VJX72FE', 'TE7660XO1C'], preferred names FERROGLYCINE SULFATE and ZINC GLYCINATE; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:TE7660XO1C,page_b,FERROGLYCINE SULFATE,Glycine,,structure_conflict,related_form_of,remainder
K1:JHC049LO86,K1:8SKN0B0MIM,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R8s the two held structures settle it: different skeletons ZSBOMTDTBDDKMP vs WPYMKLBDIGXBTP; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:8SKN0B0MIM,page_b,Benzoic Acid,Alogliptin,,structure_conflict,related_form_of,
