page_a,page_b,resolved_page_b,name_a,name_b,reach,tier,second_verdict,confidence,recommended_default,licence_ground,first_pass_reason,second_evidence,corpus_confirms,existing_relations,duplicate_of_row
K1:6QT214X4XU,K1:R16CO5Y76E,K1:R16CO5Y76E,Aloxiprin,ASA,indexable,1,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at medium confidence,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",R5 FDA active moiety: GSRS gives ASA (R16CO5Y76E) as the active moiety of Aloxiprin,structure_conflict; moiety_match,related_form_of,
K1:8QTV3DTT8W,K4:chondroitin,K4:chondroitin,Chondroitin Sulfate Sodium (BOVINE),Chondroitin,indexable,1,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at medium confidence,the evidence links the two pages but no rule in the spec's order decides them,R7 §3.1/§3.1a salt or hydrate on the register's printed name: Chondroitin Sulfate Sodium (BOVINE) = Chondroitin + sulfate/sodium,,,
K1:941N5DUU5C,K1:9YCX42I8IU,K1:9YCX42I8IU,Sevelamer,Sevelamer Carbonate,indexable,1,merge,high,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",an FDA active-moiety match with no largest-fragment match to confirm it,same normalised name and no structure on either page; the identity rules give no evidence that decides them,R5 FDA active moiety: GSRS gives Sevelamer (941N5DUU5C) as the active moiety of Sevelamer Carbonate; Sevelamer Carbonate = Sevelamer + carbonate,moiety_match,,
K1:94ZLA3W45F,K4:arginine l malate,K4:arginine l malate,Arginine,Arginine-L-Malate,indexable,1,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at medium confidence,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies",R7 §3.1/§3.1a salt or hydrate on the register's printed name: Arginine-L-Malate = Arginine + malate,,,
K1:DB7AK6G4U9,K2:XLXSAKCOAKORKW-AQJXLSMYSA-N,K2:XLXSAKCOAKORKW-AQJXLSMYSA-N,(10-GLYCINE)GONADORELIN,Gonadorelin,indexable,1,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at medium confidence,the evidence links the two pages but no rule in the spec's order decides them,"R7y identical name '(10-GLYCINE)GONADORELIN' and only one page holds a structure, so nothing contradicts the shared name; UNIIs ['DB7AK6G4U9'] / ['2RG1XQ1NYJ'], substance classes ['protein'] / ['mixture']",,,
K1:IU5QR144QX,K2:GJUHUIXJLZINMA-MJCUULBUSA-N,K2:GJUHUIXJLZINMA-MJCUULBUSA-N,"Estrogens, Conjugated",ESTROGEN,indexable,1,merge,high,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed","§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,R1 identical UNII IU5QR144QX; one page holds no structure of its own; §2 keys biologics and name-only records on UNII alone,same_unii; structure_conflict; moiety_match,,
K1:K0U68Q2TXA,K1:L0378Q1565,K1:L0378Q1565,Corticotropin,Corticotropin zinc hydroxide,indexable,1,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at medium confidence,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies",R5 FDA active moiety: GSRS gives Corticotropin (K0U68Q2TXA) as the active moiety of Corticotropin zinc hydroxide,moiety_match,,
K1:LLM855Y3S3#gmod,K1:WKM56H3TLB,K1:WKM56H3TLB,Bulevirtide-Gmod,Bulevirtide,indexable,1,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at medium confidence,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",R5 FDA active moiety: GSRS gives Bulevirtide (WKM56H3TLB) as the active moiety of Bulevirtide-Gmod,,related_form_of,
K1:MU72812GK0,K4:creatine gluconate,K4:creatine gluconate,Creatine,Creatine Gluconate,indexable,1,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at medium confidence,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies",R7 §3.1/§3.1a salt or hydrate on the register's printed name: Creatine Gluconate = Creatine + gluconate,,,
K2:JSQIKKVBLLHQSQ-AWJAZODESA-N,K2:PVHLMTREZMEJCG-GDTLVBQBSA-N,K2:PVHLMTREZMEJCG-GDTLVBQBSA-N,ANGIOTENSIN,Talfirastide,indexable,1,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed","§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"R1 identical UNII IJ3FUK8MOF, but the two held structures disagree (different skeletons JSQIKKVBLLHQSQ vs PVHLMTREZMEJCG); the registry identifier is the stronger evidence and the structure conflict needs a data fix",same_unii; structure_conflict; moiety_match; fragment_match,,
K2:MSWZFWKMSRAUBD-IVMDWMLBSA-N,K4:glucosamine,K4:glucosamine,Glucosamine,Glucosamine Potassium Sulfate,indexable,1,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at medium confidence,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies",R7 §3.1/§3.1a salt or hydrate on the register's printed name: Glucosamine Potassium Sulfate = Glucosamine + potassium/sulfate,,,
K2:OAEOAAHCJGWJIC-CEVJMMQXSA-N,K4:chondroitin,K4:chondroitin,CHONDROITIN SULFATE,Chondroitin,indexable,1,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at medium confidence,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies",R7 §3.1/§3.1a salt or hydrate on the register's printed name: CHONDROITIN SULFATE = Chondroitin + sulfate,,,
K3:CHEMBL3707352,K4:policosanol,K4:policosanol,POLICOSANOL,Policosanol,indexable,1,merge,low,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at low confidence,same normalised name and no structure on either page; the identity rules give no evidence that decides them,"R7y identical name 'POLICOSANOL' and no structure on either page; UNIIs none / none, substance classes [] / []",,,
K1:XF417D3PSL,K1:2968PHW8QP,K1:2968PHW8QP,Anhydrous Citric Acid,Citric Acid,band,2,merge,high,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed","§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"R1h identical UNII 2968PHW8QP; the structure on HOLD:existing:anhydrous-citric-acid is GSRS Anhydrous citric acid (XF417D3PSL), the same substance as Citric Acid with anhydrous on the name. §3.1 removes solvates and hydrates",same_unii; structure_conflict,,
HOLD:existing:beclomethasone,K1:KGZ1SLC28Z,K1:KGZ1SLC28Z,Beclometasone,Beclometasone,band,2,form_of,high,the existing state — the two pages stay as they are and no relation is recorded,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"R1x §3.2 exception to the shared UNII KGZ1SLC28Z: the structure on HOLD:existing:beclomethasone is GSRS BECLOMETHASONE DIPROPIONATE (5B307S63B2), one covalent molecule that adds dipropionate to Beclometasone. An ester or acyl derivative is a distinct substance, so the pages split and link",same_unii; structure_conflict; moiety_match,,
HOLD:existing:fludarabine,K1:P2K93U8740,K1:P2K93U8740,Fludarabine,Fludarabine,band,2,form_of,high,the existing state — the two pages stay as they are and no relation is recorded,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"R1x §3.2 exception to the shared UNII P2K93U8740: the structure on HOLD:existing:fludarabine is GSRS FLUDARABINE PHOSPHATE (1X9VK9O1SC), one covalent molecule that adds phosphate to Fludarabine. An ester or acyl derivative is a distinct substance, so the pages split and link",same_unii; structure_conflict; moiety_match,,
HOLD:existing:fludrocortisone,K1:U0476M545B,K1:U0476M545B,Fludrocortisone,Fludrocortisone,band,2,form_of,high,the existing state — the two pages stay as they are and no relation is recorded,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"R1x §3.2 exception to the shared UNII U0476M545B: the structure on HOLD:existing:fludrocortisone is GSRS Fludrocortisone acetate (V47IF0PVH4), one covalent molecule that adds acetate to Fludrocortisone. An ester or acyl derivative is a distinct substance, so the pages split and link",same_unii; structure_conflict; moiety_match,,
K1:86R1NVR0HW,K1:EE90ONI6FF,K1:EE90ONI6FF,Potassium Citrate,POTASSIUM CITRATE,band,2,merge,high,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed","§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"R1h identical UNII EE90ONI6FF; the structure on HOLD:existing:potassium-citrate is GSRS POTASSIUM CITRATE ANHYDROUS (86R1NVR0HW), the same substance as POTASSIUM CITRATE with anhydrous on the name. §3.1 removes solvates and hydrates",same_unii; structure_conflict,,
K1:0LB9J2797D,K1:1FQ2RY5YHH,K1:1FQ2RY5YHH,Patiromer Sorbitex Calcium,Patiromer,band,2,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at medium confidence,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",R5 FDA active moiety: GSRS gives Patiromer (1FQ2RY5YHH) as the active moiety of Patiromer Sorbitex Calcium,moiety_match,related_form_of,
K1:EE90ONI6FF,,K1:86R1NVR0HW,POTASSIUM CITRATE,Potassium Citrate,band,2,merge,high,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed","the two pages share a UNII but carry different InChIKey skeletons, which §2 holds","two pages collide on a display name and nothing recorded for them - substance class, primary target, stereo descriptor, UNII or structure - tells one from the other",R0b same UNII inside the 'potassium' name group: K1:EE90ONI6FF and HOLD:existing:potassium-citrate both hold UNII EE90ONI6FF,same_unii; structure_conflict,,190
HOLD:existing:boldenone,K1:5H7I2IP58X,K1:5H7I2IP58X,Boldenone,Boldenone,rest,1,form_of,high,the existing state — the two pages stay as they are and no relation is recorded,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"R1x §3.2 exception to the shared UNII 5H7I2IP58X: the structure on HOLD:existing:boldenone is GSRS BOLDENONE UNDECYLENATE (ZS6D2ITA30), one covalent molecule that adds undecylenate to Boldenone. An ester or acyl derivative is a distinct substance, so the pages split and link",same_unii; structure_conflict; moiety_match,,
HOLD:existing:dromostanolone,K1:7DR7H00HDT,K1:7DR7H00HDT,Dromostanolone,DROMOSTANOLONE,rest,1,form_of,high,the existing state — the two pages stay as they are and no relation is recorded,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"R1x §3.2 exception to the shared UNII 7DR7H00HDT: the structure on HOLD:existing:dromostanolone is GSRS DROMOSTANOLONE PROPIONATE (X20UZ57G4O), one covalent molecule that adds propionate to DROMOSTANOLONE. An ester or acyl derivative is a distinct substance, so the pages split and link",same_unii; structure_conflict; moiety_match,,
HOLD:existing:paramethasone,K1:VFC6ZX3584,K1:VFC6ZX3584,Paramethasone,PARAMETHASONE,rest,1,form_of,high,the existing state — the two pages stay as they are and no relation is recorded,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"R1x §3.2 exception to the shared UNII VFC6ZX3584: the structure on HOLD:existing:paramethasone is GSRS PARAMETHASONE ACETATE (8X50N88ZDP), one covalent molecule that adds acetate to PARAMETHASONE. An ester or acyl derivative is a distinct substance, so the pages split and link",same_unii; structure_conflict; moiety_match,,
HOLD:existing:plicamycin,K1:NIJ123W41V,K1:NIJ123W41V,Plicamycin,Plicamycin,rest,1,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed","§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"R1 identical UNII NIJ123W41V, but the two held structures disagree (different skeletons XDKMHMINQXATOR vs CFCUWKMKBJTWLW); the registry identifier is the stronger evidence and the structure conflict needs a data fix",same_unii; structure_conflict; moiety_match; fragment_match,,
HOLD:existing:trenbolone,K1:P53R4420TR,K1:P53R4420TR,Trenbolone,Trenbolone,rest,1,form_of,high,the existing state — the two pages stay as they are and no relation is recorded,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"R1x §3.2 exception to the shared UNII P53R4420TR: the structure on HOLD:existing:trenbolone is GSRS TRENBOLONE ACETATE (RUD5Y4SV0S), one covalent molecule that adds acetate to Trenbolone. An ester or acyl derivative is a distinct substance, so the pages split and link",same_unii; structure_conflict; moiety_match,,
K1:305OE8862Y,K2:PNMZQWKBJIQQJL-FAUHKOHMSA-N,K2:PNMZQWKBJIQQJL-FAUHKOHMSA-N,Corticorelin,HUMAN CORTICOTROPIN RELEASING FACTOR,rest,1,merge,high,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed","§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,R1 identical UNII 305OE8862Y; one page holds no structure of its own; §2 keys biologics and name-only records on UNII alone,same_unii; structure_conflict; moiety_match,,
K1:N02W67RKJS,K1:P28BIW0UTB,K1:P28BIW0UTB,Mangafodipir,Fodipir,rest,1,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at medium confidence,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",R5 FDA active moiety: GSRS gives Mangafodipir (N02W67RKJS) as the active moiety of Fodipir,structure_conflict,related_form_of,
K3:CHEMBL1201493,K4:simethicone cellulose,K4:simethicone cellulose,SIMETHICONE-CELLULOSE,Simethicone-Cellulose,rest,1,merge,low,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at low confidence,same normalised name and no structure on either page; the identity rules give no evidence that decides them,"R7y identical name 'SIMETHICONE-CELLULOSE' and no structure on either page; UNIIs none / none, substance classes [] / []",,,
K3:CHEMBL1201525,K4:technetium tc 99m polyphosphate kit,K4:technetium tc 99m polyphosphate kit,TECHNETIUM TC-99M POLYPHOSPHATE KIT,Technetium Tc-99m Polyphosphate Kit,rest,1,merge,low,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at low confidence,same normalised name and no structure on either page; the identity rules give no evidence that decides them,"R7y identical name 'TECHNETIUM TC-99M POLYPHOSPHATE KIT' and no structure on either page; UNIIs none / none, substance classes [] / []",,,
K3:CHEMBL1201537,K4:trolamine polypeptide oleate condensate,K4:trolamine polypeptide oleate condensate,TROLAMINE POLYPEPTIDE OLEATE CONDENSATE,Trolamine Polypeptide Oleate Condensate,rest,1,merge,low,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at low confidence,same normalised name and no structure on either page; the identity rules give no evidence that decides them,"R7y identical name 'TROLAMINE POLYPEPTIDE OLEATE CONDENSATE' and no structure on either page; UNIIs none / none, substance classes [] / []",,,
K3:CHEMBL1201652,K4:protein hydrolysate,K4:protein hydrolysate,PROTEIN HYDROLYSATE,Protein Hydrolysate,rest,1,merge,low,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at low confidence,same normalised name and no structure on either page; the identity rules give no evidence that decides them,"R7y identical name 'PROTEIN HYDROLYSATE' and no structure on either page; UNIIs none / none, substance classes [] / []",,,
HOLD:existing:alclometasone,K1:136H45TB7B,K1:136H45TB7B,Alclometasone,ALCLOMETASONE,rest,2,form_of,high,the existing state — the two pages stay as they are and no relation is recorded,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"R1x §3.2 exception to the shared UNII 136H45TB7B: the structure on HOLD:existing:alclometasone is GSRS Alclometasone dipropionate (S56PQL4N1V), one covalent molecule that adds dipropionate to ALCLOMETASONE. An ester or acyl derivative is a distinct substance, so the pages split and link",same_unii; structure_conflict; moiety_match,,
HOLD:existing:ethynodiol,K1:9E01C36A9S,K1:9E01C36A9S,Ethynodiol,ETHYNODIOL,rest,2,form_of,high,the existing state — the two pages stay as they are and no relation is recorded,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"R1x §3.2 exception to the shared UNII 9E01C36A9S: the structure on HOLD:existing:ethynodiol is GSRS ETHYNODIOL DIACETATE (62H10A1236), one covalent molecule that adds diacetate to ETHYNODIOL. An ester or acyl derivative is a distinct substance, so the pages split and link",same_unii; structure_conflict; moiety_match,,
HOLD:existing:fluphenazine,K1:S79426A41Z,K1:S79426A41Z,Fluphenazine,Fluphenazine,rest,2,form_of,high,the existing state — the two pages stay as they are and no relation is recorded,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"R1x §3.2 exception to the shared UNII S79426A41Z: the structure on HOLD:existing:fluphenazine is GSRS Fluphenazine enanthate (QSB34YF0W9), one covalent molecule that adds enanthate to Fluphenazine. An ester or acyl derivative is a distinct substance, so the pages split and link",same_unii; structure_conflict; moiety_match,,
HOLD:existing:voxilaprevir,K1:0570F37359,K1:0570F37359,Voxilaprevir,Voxilaprevir,rest,2,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed","§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"R1 identical UNII 0570F37359, but the two held structures disagree (different skeletons MKDALIOACIEUJM vs MZBLZLWXUBZHSL); the registry identifier is the stronger evidence and the structure conflict needs a data fix",same_unii; structure_conflict; moiety_match; fragment_match,,
K1:05JZI7B19X,K1:Y3R0RA1Q8S,K1:Y3R0RA1Q8S,Carboxymethylcellulose,Carboxymethylcellulose Sodium (0.7 Carboxymethyl Substitution Per SACCHARIDE; 600 MPA.S At 2%),rest,2,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at medium confidence,the evidence links the two pages but no rule in the spec's order decides them,R7 §3.1/§3.1a salt or hydrate on the register's printed name: Carboxymethylcellulose Sodium (0.7 Carboxymethyl Substitution Per SACCHARIDE; 600 MPA.S At 2%) = Carboxymethylcellulose + sodium,,,
K1:1ZPG1ELY14,K1:BIU7Q7W2SH,K1:BIU7Q7W2SH,Rose Bengal Potassium,Rose Bengal Lactone,rest,2,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at medium confidence,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",R5 FDA active moiety: GSRS gives Rose Bengal Lactone (BIU7Q7W2SH) as the active moiety of Rose Bengal Potassium,structure_conflict; moiety_match,related_form_of,
K1:5IE62321P4,K2:NDAYQJDHGXTBJL-MWWSRJDJSA-N,K2:NDAYQJDHGXTBJL-MWWSRJDJSA-N,Gramicidin,GRAMICIDIN D,rest,2,merge,high,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed","§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,R1 identical UNII 5IE62321P4; one page holds no structure of its own; §2 keys biologics and name-only records on UNII alone,same_unii; structure_conflict; moiety_match,,
K1:A4028U842W,K1:D60E3WIF5Y,K1:D60E3WIF5Y,Fibrinolysin,Fibrinolysin (human),rest,2,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at medium confidence,the evidence links the two pages but no rule in the spec's order decides them,"R7y identical name 'Fibrinolysin' and no structure on either page; UNIIs ['A4028U842W'] / ['D60E3WIF5Y'], substance classes ['protein'] / ['protein']",,,
K1:M089EFU921,K2:CUKWUWBLQQDQAC-VEQWQPCFSA-N,K2:CUKWUWBLQQDQAC-VEQWQPCFSA-N,Angiotensin II,ANGIOTENSIN-II,rest,2,merge,high,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed","§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,R1 identical UNII M089EFU921; one page holds no structure of its own; §2 keys biologics and name-only records on UNII alone,same_unii; structure_conflict; moiety_match,,
K1:MRJ667KA5E,K1:NPU9M2E6L8,K1:NPU9M2E6L8,Methylcellulose (4000 MPA.S),Methylcellulose (15 MPA.S),rest,2,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at medium confidence,the evidence links the two pages but no rule in the spec's order decides them,"R7y identical name 'Methylcellulose (4000 MPA.S)' and no structure on either page; UNIIs ['MRJ667KA5E'] / ['NPU9M2E6L8'], substance classes ['polymer'] / ['polymer']",,,
K1:W108RK810P,K1:R4R8J0Q44B,K1:R4R8J0Q44B,Gluconic Acid,FERRIC GLUCONATE TRIHYDRATE,rest,2,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at medium confidence,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",R5 FDA active moiety: GSRS gives Gluconic Acid (R4R8J0Q44B) as the active moiety of FERRIC GLUCONATE TRIHYDRATE,structure_conflict; moiety_match,related_form_of,
K2:MTMGAHSPYQRCFL-RNLOPGSRSA-N,K3:CHEMBL1201664,K3:CHEMBL1201664,Insulin Aspart Protamine Recombinant,INSULIN ASPART PROTAMINE RECOMBINANT,rest,2,merge,low,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at low confidence,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies","R7y identical name 'Insulin Aspart Protamine Recombinant' and only one page holds a structure, so nothing contradicts the shared name; UNIIs none / none, substance classes [] / []",,,
