page_a,page_b,verdict,evidence,confidence
K1:53AXN4NNHX,K2:UCZDWGAJSOUHOU-VDBPWWIZSA-N,separate,"R9a two separately registered FDA substances: Semaglutide ['53AXN4NNHX'] and GLP-1 ['0JS9125PIZ'], preferred names Semaglutide and GLUCAGON-LIKE PEPTIDE-I(7-36) AMIDE; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:69PN84IO1A,K1:91XW058U2C,separate,R8s the two held structures settle it: different skeletons GBXSMTUPTTWBMN vs VZCYOOQTPOCHFL; a name rule does not overrule a structure comparison,high
K1:6QT214X4XU,K1:R16CO5Y76E,merge,R5 FDA active moiety: GSRS gives ASA (R16CO5Y76E) as the active moiety of Aloxiprin,medium
K1:75IZZ8Y727,K1:N20HL7Q941,separate,R9c Camphor Oil and Camphor are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:76LA80IG2G,,merge,R0 already-merged: corpus merge map records K1:1H87NVF4DB -> K1:76LA80IG2G; the two names denote one live page (Glucagon),high
K1:76LA80IG2G,,merge,R0 already-merged: corpus merge map records K1:1H87NVF4DB -> K1:76LA80IG2G; the two names denote one live page (Glucagon),high
K1:7GB7U7M282,K1:OF5P57N2ZX,separate,R8s the two held structures settle it: different skeletons OOJZCXFXPZGUBJ vs QNAYBMKLOCPYGJ; a name rule does not overrule a structure comparison,high
K1:7QWA1RIO01,K2:ZAKOWWREFLAJOT-ADUHFSDSSA-N,separate,R8s the two held structures settle it: different skeletons GVJHHUAWPYXKBD vs ZAKOWWREFLAJOT; a name rule does not overrule a structure comparison,high
K1:7UJQ5OPE7D,K1:8MDF5V39QO,separate,R4z shared parent BVKZGUZCCUSVTD has 1 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high
K1:7UJQ5OPE7D,K1:HM5Z15LEBN,separate,R4z shared parent BVKZGUZCCUSVTD has 1 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high
K1:7UP781YBR6,K1:N91BDP6H0X,separate,"R6d GSRS names Choline as the parent substance of Salcolex Anhydrous, yet nothing in the names or structures makes one a salt or solvate of the other; the link runs through a coformer",medium
K1:884KT10YB7,K1:XF417D3PSL,separate,"R6 the GSRS record on K1:884KT10YB7 is a mixed salt whose active moiety is Ranitidine (884KT10YB7); Anhydrous Citric Acid is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high
K1:8MDF5V39QO,K1:NPT6P8P3UU,separate,R8s the two held structures settle it: different skeletons BVKZGUZCCUSVTD vs FEWJPZIEWOKRBE; a name rule does not overrule a structure comparison,high
K1:8QTV3DTT8W,K4:chondroitin,merge,R7 §3.1/§3.1a salt or hydrate on the register's printed name: Chondroitin Sulfate Sodium (BOVINE) = Chondroitin + sulfate/sodium,medium
K1:941N5DUU5C,,merge,R0 already-merged: corpus merge map records K1:GLS2PGI8QG -> K1:941N5DUU5C; the two names denote one live page (Sevelamer),high
K1:941N5DUU5C,K1:9YCX42I8IU,merge,R5 FDA active moiety: GSRS gives Sevelamer (941N5DUU5C) as the active moiety of Sevelamer Carbonate; Sevelamer Carbonate = Sevelamer + carbonate,high
K1:94ZLA3W45F,K4:arginine l malate,merge,R7 §3.1/§3.1a salt or hydrate on the register's printed name: Arginine-L-Malate = Arginine + malate,medium
K1:94ZLA3W45F,K4:arginine orotate,separate,R9 no shared identifier and no structure pair to compare (Arginine vs Arginine Orotate); UNIIs ['94ZLA3W45F'] vs none; InChIKeys ODKSFYDXXFIFQN-BYPYZUCNSA-N vs none,low
K1:9U6A490501,K2:ZAKOWWREFLAJOT-ADUHFSDSSA-N,separate,R8s the two held structures settle it: different skeletons WGVKWNUPNGFDFJ vs ZAKOWWREFLAJOT; a name rule does not overrule a structure comparison,high
K1:BGF9MN2HU1,K1:N91BDP6H0X,separate,"R6 the GSRS record on K1:BGF9MN2HU1 is a mixed salt whose active moiety is Fenofibric Acid (BGF9MN2HU1); Choline is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high
K1:BQN1B9B9HA,,separate,"R0b distinct substances sharing the normalised name 'potassium': Potassium Carbonate (BWHMMNNQKKPAPP-UHFFFAOYSA-L) against POTASSIUM CITRATE, POTASSIUM CITRATE ANHYDROUS, POTASSIUM GLUCONATE, POTASSIUM SALICYLATE; disambiguate on the display name, do not merge",high
K1:C5529G5JPQ,K1:SAS9Z1SVUK,separate,R9c Ginger Oil and Ginger are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:DJJ95FJP1H,K1:N91BDP6H0X,separate,"R6d GSRS names Choline as the parent substance of CHOLINE MAGNESIUM TRISALICYLATE, yet nothing in the names or structures makes one a salt or solvate of the other; the link runs through a coformer",medium
K1:E6S1NJ4Y5Q,K1:SMD1X3XO9M,separate,"R9a two separately registered FDA substances: CELLULOSE SODIUM PHOSPHATE ['E6S1NJ4Y5Q'] and Powdered Cellulose ['SMD1X3XO9M'], preferred names CELLULOSE SODIUM PHOSPHATE and POWDERED CELLULOSE; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:EAO03PE1TC,K1:2WTB3V159F,separate,"R9a two separately registered FDA substances: SODIUM NITROPRUSSIDE ['EAO03PE1TC'] and Hydrogen Cyanide ['2WTB3V159F'], preferred names Sodium nitroprusside and Hydrogen cyanide; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:F60NE4XB53,,merge,R0 already-merged: corpus merge map records K1:2AW48LAZ4I -> K1:F60NE4XB53; the two names denote one live page (Imetelstat),high
K1:F6A27P4Q4R,K1:H6241UJ22B,separate,R8s the two held structures settle it: different skeletons MCAHWIHFGHIESP vs BUGBHKTXTAQXES; a name rule does not overrule a structure comparison,high
K1:FB33469R8E,K2:GJUHUIXJLZINMA-MJCUULBUSA-N,separate,R8s the two held structures settle it: different skeletons PROQIPRRNZUXQM vs GJUHUIXJLZINMA; a name rule does not overrule a structure comparison,high
K1:FD57A79R4P,K1:N91BDP6H0X,separate,"R6a GSRS names Choline as the parent substance of TIOMOLIBDATE CHOLINE, but it records the active moiety as TIOMOLIBDIC ACID (206J6X63BE); the counter-ion is the substance being recorded",high
K1:FO2303MNI2,K1:L99N5N533T,separate,R8s the two held structures settle it: different skeletons LDCRTTXIJACKKU vs OTMSDBZUPAUEDD; a name rule does not overrule a structure comparison,high
K1:I3T12NR296,K1:YEH1EZ96K6,separate,R8s the two held structures settle it: different skeletons MCKJPJYRCPANCC vs DMKSVUSAATWOCU; a name rule does not overrule a structure comparison,high
K1:IU5QR144QX,K2:GJUHUIXJLZINMA-MJCUULBUSA-N,merge,R1 identical UNII IU5QR144QX; one page holds no structure of its own; §2 keys biologics and name-only records on UNII alone,high
K1:JGK960078D,K1:TE7660XO1C,separate,"R9a two separately registered FDA substances: FERROGLYCINE SULFATE ['JGK960078D'] and Glycine ['681VJX72FE', 'TE7660XO1C'], preferred names FERROGLYCINE SULFATE and ZINC GLYCINATE; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:JHC049LO86,K1:8SKN0B0MIM,separate,R8s the two held structures settle it: different skeletons ZSBOMTDTBDDKMP vs WPYMKLBDIGXBTP; a name rule does not overrule a structure comparison,high
K1:K0U68Q2TXA,K1:L0378Q1565,merge,R5 FDA active moiety: GSRS gives Corticotropin (K0U68Q2TXA) as the active moiety of Corticotropin zinc hydroxide,medium
K1:LZB1G2I725,K1:30KYC7MIAI,separate,"R4w Aspartic acid appears only as a fragment of Arginine Aspartate, not as its parent moiety",high
K1:M0KG633D4F,K1:T2I5UM75DN,separate,R4z shared parent IOVCWXUNBOPUCH has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high
K1:M4F288ZCTR,K1:ZZ45AB24CA,separate,"R9a two separately registered FDA substances: HEPARIN CALCIUM ['M4F288ZCTR'] and Heparin sodium ['ZZ45AB24CA'], preferred names HEPARIN CALCIUM and HEPARIN SODIUM; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:M4F288ZCTR,K2:ZFGMDIBRIDKWMY-PASTXAENSA-N,separate,"R9a two separately registered FDA substances: HEPARIN CALCIUM ['M4F288ZCTR'] and SODIUM HEPARIN ['ZZ45AB24CA'], preferred names HEPARIN CALCIUM and HEPARIN SODIUM; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:MA10QYF1Z0,K1:3A9RD92BS4,separate,"R6a GSRS names Maltol as the parent substance of Ferric maltol, but it records the active moiety as FERRIC CATION (91O4LML611); the counter-ion is the substance being recorded",high
K1:MQG94M5EEO,,merge,R0 already-merged: corpus merge map records K1:LGW5H38VE3 -> K1:MQG94M5EEO; the two names denote one live page (Tesamorelin),high
K1:MQG94M5EEO,,merge,R0 already-merged: corpus merge map records K1:LGW5H38VE3 -> K1:MQG94M5EEO; the two names denote one live page (Tesamorelin),high
K1:MU72812GK0,K4:creatine gluconate,merge,R7 §3.1/§3.1a salt or hydrate on the register's printed name: Creatine Gluconate = Creatine + gluconate,medium
K1:NPT6P8P3UU,,separate,"R0b distinct substances sharing the normalised name 'potassium': Potassium Bitartrate (KYKNRZGSIGMXFH-ZVGUSBNCSA-M) against POTASSIUM CITRATE, POTASSIUM CITRATE ANHYDROUS, POTASSIUM GLUCONATE, POTASSIUM SALICYLATE; disambiguate on the display name, do not merge",high
K1:NPT6P8P3UU,K1:W4888I119H,separate,"R4a Potassium Bitartrate is TARTARIC ACID (FEWJPZIEWOKRBE) plus counter-ions or solvate, but FDA records the active moiety of Potassium Bitartrate as POTASSIUM CATION (295O53K152), not TARTARIC ACID; the counter-ion is the substance being recorded and the organic acid is its carrier",high
K1:QX10HYY4QV,K4:sesame,separate,R9c Sesame Oil and Sesame are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:R1B526117P,K1:94ZLA3W45F,separate,"R6d GSRS names Arginine as the parent substance of HEME ARGINATE, yet nothing in the names or structures makes one a salt or solvate of the other; the link runs through a coformer",medium
K1:RU45X2JN0Z,,separate,"R0b distinct substances sharing the normalised name 'potassium': Potassium Nitrate (FGIUAXJPYTZDNR-UHFFFAOYSA-N) against POTASSIUM CITRATE, POTASSIUM CITRATE ANHYDROUS, POTASSIUM GLUCONATE, POTASSIUM SALICYLATE; disambiguate on the display name, do not merge",high
K1:S71T8B8Z6P,K1:QZV2W997JQ,separate,"R9a two separately registered FDA substances: CHROMIUM PICOLINATE ['S71T8B8Z6P'] and Picolinic Acid ['ALO92O31SE', 'QZV2W997JQ'], preferred names CHROMIUM PICOLINATE and ZINC PICOLINATE; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:SFW1D987QV,K1:TE7660XO1C,separate,"R9a two separately registered FDA substances: FERROUS BISGLYCINATE ['SFW1D987QV'] and Glycine ['681VJX72FE', 'TE7660XO1C'], preferred names FERROUS BISGLYCINATE and ZINC GLYCINATE; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:SOI2LOH54Z,K1:13S1S8SF37,separate,R4z shared parent PTFCDOFLOPIGGS has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high
K1:SY7Q814VUP,K1:UV63W89SJM,separate,R8s the two held structures settle it: different skeletons BHPQYMZQTOCNFJ vs POULHZVOKOAJMA; a name rule does not overrule a structure comparison,high
K1:SY7Q814VUP,UNKEYED:existing:calcium-potassium-phosphate-citrate,separate,R9 no shared identifier and no structure pair to compare (CALCIUM vs Calcium Potassium Phosphate Citrate); UNIIs ['SY7Q814VUP'] vs none; InChIKeys OYPRJOBELJOOCE-UHFFFAOYSA-N vs none,low
K1:SZB83O1W42,K1:94ZLA3W45F,separate,"R6 the GSRS record on K1:SZB83O1W42 is a mixed salt whose active moiety is Pidolic acid (SZB83O1W42); Arginine is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high
K1:TLE294X33A,K1:2WTB3V159F,separate,"R9a two separately registered FDA substances: PRUSSIAN BLUE INSOLUBLE ['TLE294X33A'] and Hydrogen Cyanide ['2WTB3V159F'], preferred names FERRIC FERROCYANIDE and Hydrogen cyanide; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:TW371I5GLO,K1:N91BDP6H0X,separate,"R6d GSRS names Choline as the parent substance of Salcolex, yet nothing in the names or structures makes one a salt or solvate of the other; the link runs through a coformer",medium
K1:U6WSN5SQ1Z,K1:R4R8J0Q44B,separate,"R4x §1 the removed fragment is not a counter-ion: Zinc Gluconate carries Zn that Gluconic Acid does not; shared organic fragment RGHNJXZEOKUKBD is the ligand, not the substance",high
K1:UOW2C71PG5,,merge,R0 already-merged: corpus merge map records K1:UPC6BTX7PY -> K1:UOW2C71PG5; the two names denote one live page (Inclisiran),high
K1:UOW2C71PG5,,merge,R0 already-merged: corpus merge map records K1:UPC6BTX7PY -> K1:UOW2C71PG5; the two names denote one live page (Inclisiran),high
K1:WYQ7N0BPYC,K1:K3Z4F929H6,separate,R8s the two held structures settle it: different skeletons PWKSKIMOESPYIA vs KDXKERNSBIXSRK; a name rule does not overrule a structure comparison,high
K1:YKH834O4BH,K1:W4888I119H,separate,R8s the two held structures settle it: different skeletons UCTWMZQNUQWSLP vs FEWJPZIEWOKRBE; a name rule does not overrule a structure comparison,high
K1:YSE9PPT4TH,K1:B7SG5YV2SI,separate,"R9a two separately registered FDA substances: Sodium Hyaluronate ['YSE9PPT4TH'] and HYALURONIC ACID (NON-ANIMAL STABILIZED) ['B7SG5YV2SI'], preferred names Sodium Hyaluronate and HYALURONIC ACID (NON-ANIMAL STABILIZED); neither is a salt, solvate or stereo form of the other by name or by structure",high
K2:MSWZFWKMSRAUBD-IVMDWMLBSA-N,K4:glucosamine,merge,R7 §3.1/§3.1a salt or hydrate on the register's printed name: Glucosamine Potassium Sulfate = Glucosamine + potassium/sulfate,medium
K2:OAEOAAHCJGWJIC-CEVJMMQXSA-N,K4:chondroitin,merge,R7 §3.1/§3.1a salt or hydrate on the register's printed name: CHONDROITIN SULFATE = Chondroitin + sulfate,medium
K2:ODQWQRRAPPTVAG-UHFFFAOYSA-N,,merge,R0 already-merged: corpus merge map records K1:3U9A0FE9N5 -> K2:ODQWQRRAPPTVAG-UHFFFAOYSA-N; the two names denote one live page (Doxepin),high
K2:OGBMKVWORPGQRR-UMXFMPSGSA-N,,merge,R0 already-merged: corpus merge map records K1:9959P4V12N -> K2:OGBMKVWORPGQRR-UMXFMPSGSA-N; the two names denote one live page (Teriparatide),high
K2:WNBILILJFBJQFP-SDLVTCPTSA-N,K1:RWM8CCW8GP,separate,R8s the two held structures settle it: different skeletons WNBILILJFBJQFP vs DEQANNDTNATYII; a name rule does not overrule a structure comparison,high
K1:59D8RAT1F9,K1:6UKA5VEJ6X,separate,R8s the two held structures settle it: different skeletons KRDOFMHJLWKXIU vs MVWVFYHBGMAFLY; a name rule does not overrule a structure comparison,high
K1:R60L0SM5BC,K1:91XW058U2C,separate,"R6 the GSRS record on K1:R60L0SM5BC is a mixed salt whose active moiety is Midazolam (R60L0SM5BC); MALEIC ACID is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high
K1:S56D65XJ9G,K1:5KV86114PT,separate,R8s the two held structures settle it: different skeletons XDXWLKQMMKQXPV vs HZAXFHJVJLSVMW; a name rule does not overrule a structure comparison,high
"COMBO:{K1:17ERJ0MKGI,K1:80M03YXJ7I}","COMBO:{K1:1J444QC288,K1:80M03YXJ7I}",separate,"RC different products under §3.7: COMBO:{K1:17ERJ0MKGI,K1:80M03YXJ7I} adds Sacubitril, COMBO:{K1:1J444QC288,K1:80M03YXJ7I} adds Amlodipine",high
"COMBO:{K1:25X51I8RD4,K1:PQ6CK8PD0R}","COMBO:{K1:7A314HQM0I,K1:PQ6CK8PD0R}",separate,"RC different products under §3.7: COMBO:{K1:25X51I8RD4,K1:PQ6CK8PD0R} adds Nicotinamide, COMBO:{K1:7A314HQM0I,K1:PQ6CK8PD0R} adds Pentetic Acid",high
"COMBO:{K1:8558G7RUTR,K1:MU72812GK0}","COMBO:{K1:8ID597Z82X,K1:MU72812GK0}",separate,"RC different products under §3.7: COMBO:{K1:8558G7RUTR,K1:MU72812GK0} adds Pyruvic Acid, COMBO:{K1:8ID597Z82X,K1:MU72812GK0} adds Alpha Ketoglutarate",high
HOLD:existing:boldenone,K1:5H7I2IP58X,form_of,"R1x §3.2 exception to the shared UNII 5H7I2IP58X: the structure on HOLD:existing:boldenone is GSRS BOLDENONE UNDECYLENATE (ZS6D2ITA30), one covalent molecule that adds undecylenate to Boldenone. An ester or acyl derivative is a distinct substance, so the pages split and link",high
HOLD:existing:dextroamphetamine-saccharate,K1:QLZ991V4A2,separate,R8s the two held structures settle it: different skeletons KWTSXDURSIMDCE vs DSLZVSRJTYRBFB; a name rule does not overrule a structure comparison,high
HOLD:existing:dromostanolone,K1:7DR7H00HDT,form_of,"R1x §3.2 exception to the shared UNII 7DR7H00HDT: the structure on HOLD:existing:dromostanolone is GSRS DROMOSTANOLONE PROPIONATE (X20UZ57G4O), one covalent molecule that adds propionate to DROMOSTANOLONE. An ester or acyl derivative is a distinct substance, so the pages split and link",high
HOLD:existing:halobetasol,K1:9P6159HM7T,form_of,"R1x §3.2 exception to the shared UNII 9P6159HM7T: the structure on HOLD:existing:halobetasol is GSRS HALOBETASOL PROPIONATE (91A0K1TY3Z), one covalent molecule that adds propionate to HALOBETASOL. An ester or acyl derivative is a distinct substance, so the pages split and link",high
HOLD:existing:paramethasone,K1:VFC6ZX3584,form_of,"R1x §3.2 exception to the shared UNII VFC6ZX3584: the structure on HOLD:existing:paramethasone is GSRS PARAMETHASONE ACETATE (8X50N88ZDP), one covalent molecule that adds acetate to PARAMETHASONE. An ester or acyl derivative is a distinct substance, so the pages split and link",high
HOLD:existing:plicamycin,K1:NIJ123W41V,merge,"R1 identical UNII NIJ123W41V, but the two held structures disagree (different skeletons XDKMHMINQXATOR vs CFCUWKMKBJTWLW); the registry identifier is the stronger evidence and the structure conflict needs a data fix",medium
HOLD:existing:sodium-succinate,K1:P699N4QOWE,merge,R2 identical full InChIKey: both hold InChIKey KZQSXALQTHVPDQ-UHFFFAOYSA-M,high
HOLD:existing:trenbolone,K1:P53R4420TR,form_of,"R1x §3.2 exception to the shared UNII P53R4420TR: the structure on HOLD:existing:trenbolone is GSRS TRENBOLONE ACETATE (RUD5Y4SV0S), one covalent molecule that adds acetate to Trenbolone. An ester or acyl derivative is a distinct substance, so the pages split and link",high
K1:0N8672707O,K1:8470G57WFM,separate,R9c CORN OIL and Corn are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:125DP6010H,,merge,R0 already-merged: corpus merge map records K1:P14877CDX2 -> K1:125DP6010H; the two names denote one live page (Polyestradiol),high
K1:125DP6010H,,merge,R0 already-merged: corpus merge map records K1:P14877CDX2 -> K1:125DP6010H; the two names denote one live page (Polyestradiol),high
K1:276897E67U,K1:P2Y1C6M9PS,separate,"R4y both are salts built on JVTAAEKCZFNVCJ; neither page is that parent moiety, and the parents differ (JVTAAEKCZFNVCJ-UHFFFAOYSA-N vs JVTAAEKCZFNVCJ-REOHCLBHSA-N); §3.1 merges a salt into its parent, and that parent is not either of these two pages",high
K1:2H1PA8H1EN,,merge,R0 already-merged: corpus merge map records K1:3HP012Q0FH -> K1:2H1PA8H1EN; the two names denote one live page (Pegaptanib),high
K1:2H1PA8H1EN,,merge,R0 already-merged: corpus merge map records K1:3HP012Q0FH -> K1:2H1PA8H1EN; the two names denote one live page (Pegaptanib),high
K1:2URQ2N32W3,K1:P2Y1C6M9PS,separate,"R4y both are salts built on JVTAAEKCZFNVCJ; neither page is that parent moiety, and the parents differ (JVTAAEKCZFNVCJ-UHFFFAOYSA-N vs JVTAAEKCZFNVCJ-REOHCLBHSA-N); §3.1 merges a salt into its parent, and that parent is not either of these two pages",high
K1:305OE8862Y,K2:PNMZQWKBJIQQJL-FAUHKOHMSA-N,merge,R1 identical UNII 305OE8862Y; one page holds no structure of its own; §2 keys biologics and name-only records on UNII alone,high
K1:32526637PN,K1:1RTM4PAL0V,separate,R8s the two held structures settle it: different skeletons LHJGJYXLEPZJPM vs GLUUGHFHXGJENI; a name rule does not overrule a structure comparison,high
K1:3KX376GY7L,K1:9BKY99A8HJ,separate,R8s the two held structures settle it: different skeletons WHUUTDBJXJRKMK vs GADGMZDHLQLZRI; a name rule does not overrule a structure comparison,high
K1:3U979E1001,K1:UT2BA2O3KN,separate,"R9a two separately registered FDA substances: Imciromab Pentetate ['3U979E1001'] and Imciromab ['UT2BA2O3KN'], preferred names IMCIROMAB PENTETATE and IMCIROMAB; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:3Z252A2K9G,K1:66YXD4DKO9,separate,R9c Almond Oil and Almond are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:415SHH325A,K1:AB2MK88Y6D,separate,R8s the two held structures settle it: different skeletons UDMBCSSLTHHNCD vs RIRGCFBBHQEQQH; a name rule does not overrule a structure comparison,high
K1:4VBL71TY4Y,K1:65UEH262IS,separate,R9c Safflower Oil and Safflower are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:4XTQ10247Y,K1:L7T10EIP3A,separate,"R9a two separately registered FDA substances: CHERRY JUICE ['4XTQ10247Y'] and MENTHOL, Unspecified Form ['L7T10EIP3A'], preferred names CHERRY JUICE and MENTHOL, UNSPECIFIED FORM; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:5A9KE2L9L3,K1:5EVU04N5QU,separate,R9c Orange Juice and Orange are different registered preparations of one organism (juice); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:6VNO72PFC1,K1:SDS87L369F,separate,R9c Avocado Oil and Avocado are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:86117BWO7P,HOLD:existing:anhydrous-citric-acid,separate,"R4a Calcium Citrate Anhydrous is Anhydrous Citric Acid (KRKNYBCHXYNGOX) plus counter-ions or solvate, but FDA records the active moiety of Calcium Citrate Anhydrous as CALCIUM CATION (2M83C4R6ZB), not Anhydrous Citric Acid; the counter-ion is the substance being recorded and the organic acid is its carrier",high
K1:86117BWO7P,K1:XF417D3PSL,separate,"R4a Calcium Citrate Anhydrous is Anhydrous Citric Acid (KRKNYBCHXYNGOX) plus counter-ions or solvate, but FDA records the active moiety of Calcium Citrate Anhydrous as CALCIUM CATION (2M83C4R6ZB), not Anhydrous Citric Acid; the counter-ion is the substance being recorded and the organic acid is its carrier",high
