key,reason,evidence
K4:carbon dioide,the ClinicalTrials.gov intervention strings recorded for this page never name it on its own; the page name is a fragment of a longer intervention name,"{""displayName"": ""Carbon Dioide"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Carbon Dioxide"", ""Carbon dioxide"", ""Carbon dioxide, USP"", ""carbon dioxide""], ""pubchem"": ""no compound matched"", ""studies"": 27}"
K4:casein peptides,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Casein Peptides"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
K4:ceramides,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Ceramides"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Ceramides""], ""pubchem"": ""no compound matched"", ""studies"": 2}"
K4:cetylated fatty acids,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Cetylated Fatty Acids"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
K4:chromic,the ClinicalTrials.gov intervention strings recorded for this page never name it on its own; the page name is a fragment of a longer intervention name,"{""displayName"": ""Chromic"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Chromium""], ""pubchem"": ""no compound matched"", ""studies"": 6}"
K4:collagen peptides,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Collagen peptides"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Collagen Peptides"", ""Collagen peptides"", ""collagen peptides""], ""pubchem"": ""no compound matched"", ""studies"": 6}"
K4:colostrum peptides,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Colostrum Peptides"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
K4:covid 19 vaccine mrna,the ClinicalTrials.gov intervention strings recorded for this page never name it on its own; the page name is a fragment of a longer intervention name,"{""displayName"": ""COVID-19 Vaccine, mRNA"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""COMIRNATY"", ""COMIRNATY (COVID-19 vaccine, mRNA)"", ""COMIRNATY\u00ae"", ""Comirnaty"", ""Comirnaty (BTN162b2)"", ""Comirnaty (COVID-19, mRNA vaccine)"", ""Comirnaty\u00ae"", ""SPIKEVAX""], ""pubchem"": ""no compound matched"", ""studies"": 45}"
K4:dibasic,the ClinicalTrials.gov intervention strings recorded for this page never name it on its own; the page name is a fragment of a longer intervention name,"{""displayName"": ""Anhydrous Dibasic"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""NATRUM PHOSPHORICUM""], ""pubchem"": ""no compound matched"", ""studies"": 1}"
K4:esters,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Esters"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
K4:fatty acids,the ClinicalTrials.gov intervention strings recorded for this page never name it on its own; the page name is a fragment of a longer intervention name,"{""displayName"": ""Fatty Acids"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Fatty Acids (placebo)""], ""pubchem"": ""no compound matched"", ""studies"": 1}"
K4:fish peptides,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Fish Peptides"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
K4:flavanols,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Flavanols"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Flavanols-capsules"", ""flavanols"", ""flavanols (subgroup of polyphenols, subgroup of phenolics, natural substances)""], ""pubchem"": ""no compound matched"", ""studies"": 3}"
K4:flavanones,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Flavanones"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
K4:flavones,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Flavones"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
K4:flavonoid glycosides,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Flavonoid Glycosides"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
K4:flavonoids,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Flavonoids"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Flavonoids"", ""flavonoids""], ""pubchem"": ""no compound matched"", ""studies"": 9}"
K4:flavonones,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Flavonones"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
K4:flax lignans,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Flax Lignans"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""flax lignans""], ""pubchem"": ""no compound matched"", ""studies"": 1}"
K4:ginger phenols,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Ginger Phenols"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
K4:ginkgo flavones,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Ginkgo Flavones"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
K4:ginkgolides,the ClinicalTrials.gov intervention strings recorded for this page never name it on its own; the page name is a fragment of a longer intervention name,"{""displayName"": ""Ginkgolides"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Ginkgolides Meglumine Injection""], ""pubchem"": ""no compound matched"", ""studies"": 3}"
K4:gymnemic acids,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Gymnemic Acids"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
K4:hydrolyzed gelatin,the ClinicalTrials.gov intervention strings recorded for this page never name it on its own; the page name is a fragment of a longer intervention name,"{""displayName"": ""Hydrolyzed Gelatin"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""hydrolyzed gelatin (Gelita)""], ""pubchem"": ""no compound matched"", ""studies"": 1}"
K4:hyperimmune milk peptides,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Hyperimmune Milk Peptides"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
K4:insulin susp isophane recombinant human,the ClinicalTrials.gov intervention strings recorded for this page never name it on its own; the page name is a fragment of a longer intervention name,"{""displayName"": ""Insulin Susp Isophane Recombinant Human"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Humulin N"", ""Humulin N, Novolin N"", ""Humulin-N"", ""Humulin\u00ae N"", ""Novolin N"", ""Novolin\u00ae N,"", ""novolin N""], ""pubchem"": ""no compound matched"", ""studies"": 14}"
K4:iridoid glycosides,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Iridoid Glycosides"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
K4:islelizumab jsgr#jsgr,the ClinicalTrials.gov intervention strings recorded for this page never name it on its own; the page name is a fragment of a longer intervention name,"{""displayName"": ""Islelizumab-Jsgr"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""TEVIMBRA"", ""TEVIMBRA\u00ae"", ""Tevimbra""], ""pubchem"": ""no compound matched"", ""studies"": 26}"
K4:isomaltooligosaccharides,the ClinicalTrials.gov intervention strings recorded for this page never name it on its own; the page name is a fragment of a longer intervention name,"{""displayName"": ""Isomaltooligosaccharides"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Isomaltooligosaccharides (IMO)"", ""Isomaltooligosaccharides (IMOs)""], ""pubchem"": ""no compound matched"", ""studies"": 2}"
K4:keratin peptides,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Keratin Peptides"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
K4:lauryl,the ClinicalTrials.gov intervention strings recorded for this page never name it on its own; the page name is a fragment of a longer intervention name,"{""displayName"": ""Sodium Lauryl"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Sodium Lauryl Sulfate"", ""Sodium lauryl sulfate"", ""Trimo-San"", ""Trimo-San gel"", ""sodium lauryl sulfate""], ""pubchem"": ""no compound matched"", ""studies"": 11}"
K4:mixed carotenoids,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Mixed Carotenoids"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""mixed carotenoids""], ""pubchem"": ""no compound matched"", ""studies"": 1}"
K4:monobasic,the ClinicalTrials.gov intervention strings recorded for this page never name it on its own; the page name is a fragment of a longer intervention name,"{""displayName"": ""Monobasic"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Potassium Phosphates Injection"", ""Sodium Phosphates Injection"", ""Tis-U-Sol"", ""sodium phosphate monobasic""], ""pubchem"": ""no compound matched"", ""studies"": 4}"
K4:motherwort,the ClinicalTrials.gov intervention strings recorded for this page never name it on its own; the page name is a fragment of a longer intervention name,"{""displayName"": ""Motherwort"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Motherwort injection""], ""pubchem"": ""no compound matched"", ""studies"": 1}"
K4:oligomeric proanthocyanidins,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Oligomeric Proanthocyanidins"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Oligomeric Proanthocyanidins"", ""oligomeric proanthocyanidins (MASQUELIER'S Original OPCs)""], ""pubchem"": ""no compound matched"", ""studies"": 2}"
K4:peptides,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Peptides"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Peptides"", ""peptides""], ""pubchem"": ""no compound matched"", ""studies"": 6}"
K4:phenols,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Phenols"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
K4:polyamine,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Polyamine"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Polyamine""], ""pubchem"": ""no compound matched"", ""studies"": 2}"
K4:polymethoxylated flavones,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Polymethoxylated Flavones"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
K4:polyphenols,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Polyphenols"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Polyphenols"", ""Polyphenols (flavon-3-ol monomers and oligomers)"", ""polyphenols"", ""polyphenols (non-alcoholic beer)""], ""pubchem"": ""no compound matched"", ""studies"": 9}"
K4:proline rich peptides,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Proline Rich Peptides"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
K4:raspberry ketones,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Raspberry Ketones"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
K4:saccharomyces cerevisiae peptides,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Saccharomyces Cerevisiae Peptides"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
K4:salts,the ClinicalTrials.gov intervention strings recorded for this page never name it on its own; the page name is a fragment of a longer intervention name,"{""displayName"": ""Phosphate Salts"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""calcium salts""], ""pubchem"": ""no compound matched"", ""studies"": 1}"
K4:somatropin rdna origin,the ClinicalTrials.gov intervention strings recorded for this page never name it on its own; the page name is a fragment of a longer intervention name,"{""displayName"": ""Somatropin [rdna Origin]"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Nutropin"", ""Nutropin (Somatropin)"", ""Nutropin (brand name)""], ""pubchem"": ""no compound matched"", ""studies"": 6}"
K4:terpenoids,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Terpenoids"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
K4:tetradecyl,the ClinicalTrials.gov intervention strings recorded for this page never name it on its own; the page name is a fragment of a longer intervention name,"{""displayName"": ""Sodium Tetradecyl"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Sodium Tetradecyl Sulfate"", ""Sodium Tetradecyl Sulphate"", ""Sodium Tetradecyl Sulphate (STS)"", ""Sodium tetradecyl sulfate"", ""Sotradecol"", ""sodium tetradecyl sulfate""], ""pubchem"": ""no compound matched"", ""studies"": 8}"
K4:thymic peptides,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Thymic Peptides"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Thymic peptides""], ""pubchem"": ""no compound matched"", ""studies"": 1}"
K4:uncaria rhynchophylla,the ClinicalTrials.gov intervention strings recorded for this page never name it on its own; the page name is a fragment of a longer intervention name,"{""displayName"": ""Uncaria Rhynchophylla"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Uncaria Rhynchophylla (Gou-Teng)""], ""pubchem"": ""no compound matched"", ""studies"": 1}"
PRODUCT:NAME:basaglar component insulin glargine,several single-substance pages share this product name and the corpus holds no page for the product itself; the components are linked to it for Phase 4 to compose,"{""brand"": ""basaglar component insulin glargine"", ""componentCount"": 3, ""components"": [""K1:2ZM8CX04RZ#aglr"", ""K1:2ZM8CX04RZ#aldy"", ""K1:2ZM8CX04RZ#yfgn""]}"
PRODUCT:NAME:basalin,several single-substance pages share this product name and the corpus holds no page for the product itself; the components are linked to it for Phase 4 to compose,"{""brand"": ""basalin"", ""componentCount"": 3, ""components"": [""K1:2ZM8CX04RZ#aglr"", ""K1:2ZM8CX04RZ#aldy"", ""K1:2ZM8CX04RZ#yfgn""]}"
PRODUCT:NAME:basalog,several single-substance pages share this product name and the corpus holds no page for the product itself; the components are linked to it for Phase 4 to compose,"{""brand"": ""basalog"", ""componentCount"": 3, ""components"": [""K1:2ZM8CX04RZ#aglr"", ""K1:2ZM8CX04RZ#aldy"", ""K1:2ZM8CX04RZ#yfgn""]}"
PRODUCT:NAME:boostrix pediarix daptacel quadracel kinrix vaxelis,several single-substance pages share this product name and the corpus holds no page for the product itself; the components are linked to it for Phase 4 to compose,"{""brand"": ""boostrix pediarix daptacel quadracel kinrix vaxelis"", ""componentCount"": 3, ""components"": [""K1:63GD90PP8X"", ""K1:8C367IY4EY"", ""K1:N51SPD4A45""]}"
PRODUCT:NAME:byooviz,several single-substance pages share this product name and the corpus holds no page for the product itself; the components are linked to it for Phase 4 to compose,"{""brand"": ""byooviz"", ""componentCount"": 4, ""components"": [""K1:ZL1R02VT79#eqrn"", ""K1:ZL1R02VT79#hkdz"", ""K1:ZL1R02VT79#leyk"", ""K1:ZL1R02VT79#nuna""]}"
PRODUCT:NAME:cimerli,several single-substance pages share this product name and the corpus holds no page for the product itself; the components are linked to it for Phase 4 to compose,"{""brand"": ""cimerli"", ""componentCount"": 4, ""components"": [""K1:ZL1R02VT79#eqrn"", ""K1:ZL1R02VT79#hkdz"", ""K1:ZL1R02VT79#leyk"", ""K1:ZL1R02VT79#nuna""]}"
PRODUCT:NAME:elevate,several single-substance pages share this product name and the corpus holds no page for the product itself; the components are linked to it for Phase 4 to compose,"{""brand"": ""elevate"", ""componentCount"": 4, ""components"": [""K1:05780F90V3"", ""K1:05KB30NGW2"", ""K1:23PJ4252VL"", ""K1:Q68C3C9P1U""]}"
PRODUCT:NAME:exosurf neonatal,several single-substance pages share this product name and the corpus holds no page for the product itself; the components are linked to it for Phase 4 to compose,"{""brand"": ""exosurf neonatal"", ""componentCount"": 3, ""components"": [""K1:319X2NFW0A"", ""K1:936JST6JCN"", ""K1:Y27PUL9H56""]}"
PRODUCT:NAME:galactus,several single-substance pages share this product name and the corpus holds no page for the product itself; the components are linked to it for Phase 4 to compose,"{""brand"": ""galactus"", ""componentCount"": 3, ""components"": [""K1:2ZM8CX04RZ#aglr"", ""K1:2ZM8CX04RZ#aldy"", ""K1:2ZM8CX04RZ#yfgn""]}"
PRODUCT:NAME:gardasil 9 gardasil,several single-substance pages share this product name and the corpus holds no page for the product itself; the components are linked to it for Phase 4 to compose,"{""brand"": ""gardasil 9 gardasil"", ""componentCount"": 4, ""components"": [""K1:61746O90DY"", ""K1:6LTE2DNX63"", ""K1:J2D279PEM5"", ""K1:Z845VHQ61P""]}"
PRODUCT:NAME:giapreza,several single-substance pages share this product name and the corpus holds no page for the product itself; the components are linked to it for Phase 4 to compose,"{""brand"": ""giapreza"", ""componentCount"": 3, ""components"": [""K1:M089EFU921"", ""K2:CUKWUWBLQQDQAC-VEQWQPCFSA-N"", ""K2:CZGUSIXMZVURDU-JZXHSEFVSA-N""]}"
PRODUCT:NAME:glaricon,several single-substance pages share this product name and the corpus holds no page for the product itself; the components are linked to it for Phase 4 to compose,"{""brand"": ""glaricon"", ""componentCount"": 3, ""components"": [""K1:2ZM8CX04RZ#aglr"", ""K1:2ZM8CX04RZ#aldy"", ""K1:2ZM8CX04RZ#yfgn""]}"
PRODUCT:NAME:inmazeb,several single-substance pages share this product name and the corpus holds no page for the product itself; the components are linked to it for Phase 4 to compose,"{""brand"": ""inmazeb"", ""componentCount"": 3, ""components"": [""K1:FJZ07Q63VY"", ""K1:KOP95331M4"", ""K1:UY9LQ8P6HW""]}"
PRODUCT:NAME:ipol,several single-substance pages share this product name and the corpus holds no page for the product itself; the components are linked to it for Phase 4 to compose,"{""brand"": ""ipol"", ""componentCount"": 3, ""components"": [""K1:0LVY784C09"", ""K1:23JE9KDF4R"", ""K1:459ROM8M9M""]}"
PRODUCT:NAME:namuscla,several single-substance pages share this product name and the corpus holds no page for the product itself; the components are linked to it for Phase 4 to compose,"{""brand"": ""namuscla"", ""componentCount"": 3, ""components"": [""K1:1U511HHV4Z"", ""K1:4KQ8G4M9DE"", ""K1:UZX645YZ46""]}"
PRODUCT:NAME:pneumovax 23,several single-substance pages share this product name and the corpus holds no page for the product itself; the components are linked to it for Phase 4 to compose,"{""brand"": ""pneumovax 23"", ""componentCount"": 23, ""components"": [""K1:23036553F6"", ""K1:2MGG3XW1L2"", ""K1:313LJP87ET"", ""K1:328VNB72T8"", ""K1:3RED79E75R"", ""K1:4FVB62AFF1"", ""K1:57F7254B6Q"", ""K1:5K0VU709JD"", ""K1:667Y1EG6EW"", ""K1:669818346F"", ""K1:7NLV25LOSI"", ""K1:9W2T4OSF98"", ""K1:CGS5KI3Q2M"", ""K1:DL82PE6ANE"", ""K1:E11P4F3X4S"", ""K1:G1GFK9898U"", ""K1:H9NOI61UH1"", ""K1:N8R9GL539D"", ""K1:N967BGT6XW"", ""K1:PYD255827T"", ""K1:S46U1CM432"", ""K1:V3FC0DK9XS"", ""K1:X1K54R2P9I""]}"
PRODUCT:NAME:poison ivy care,several single-substance pages share this product name and the corpus holds no page for the product itself; the components are linked to it for Phase 4 to compose,"{""brand"": ""poison ivy care"", ""componentCount"": 3, ""components"": [""K1:DG4F8T839X"", ""K1:M9C36LC10E"", ""K1:UU81N77RI7""]}"
PRODUCT:NAME:prevnar 13,several single-substance pages share this product name and the corpus holds no page for the product itself; the components are linked to it for Phase 4 to compose,"{""brand"": ""prevnar 13"", ""componentCount"": 13, ""components"": [""K1:0K0S2P98ZJ"", ""K1:25N8E57V6T"", ""K1:2E1M7F958B"", ""K1:2VF3V7175U"", ""K1:4M543JVT7G"", ""K1:54EC0SE5PZ"", ""K1:5Q768OY0GI"", ""K1:5SKG37872O"", ""K1:B970MQT365"", ""K1:SK54I0S386"", ""K1:TGJ6YZC4W7"", ""K1:XK87D9J012"", ""K1:Z9HK08690W""]}"
PRODUCT:NAME:pyzchiva,several single-substance pages share this product name and the corpus holds no page for the product itself; the components are linked to it for Phase 4 to compose,"{""brand"": ""pyzchiva"", ""componentCount"": 8, ""components"": [""K1:FU77B4U5Z0#aauz"", ""K1:FU77B4U5Z0#aekn"", ""K1:FU77B4U5Z0#auub"", ""K1:FU77B4U5Z0#hmny"", ""K1:FU77B4U5Z0#kfce"", ""K1:FU77B4U5Z0#srlf"", ""K1:FU77B4U5Z0#stba"", ""K1:FU77B4U5Z0#ttwe""]}"
PRODUCT:NAME:radiation,several single-substance pages share this product name and the corpus holds no page for the product itself; the components are linked to it for Phase 4 to compose,"{""brand"": ""radiation"", ""componentCount"": 3, ""components"": [""K1:2F2UPU4KCW"", ""K1:3V057702FY"", ""K1:BJ7YPN79A1""]}"
PRODUCT:NAME:rotateq,several single-substance pages share this product name and the corpus holds no page for the product itself; the components are linked to it for Phase 4 to compose,"{""brand"": ""rotateq"", ""componentCount"": 6, ""components"": [""K1:236YGP181O"", ""K1:25VC15141Q"", ""K1:6334XMP4KC"", ""K1:JU499IS53H"", ""K1:KZ3L01D2PC#live"", ""K1:L1977Q86S5""]}"
PRODUCT:NAME:tobacco,several single-substance pages share this product name and the corpus holds no page for the product itself; the components are linked to it for Phase 4 to compose,"{""brand"": ""tobacco"", ""componentCount"": 4, ""components"": [""K1:01800C6E6B"", ""K1:8471AK50P8"", ""K1:8P5F881OCY"", ""K1:9PP1T3TC5U""]}"
PRODUCT:NAME:vaxneuvance capvaxive prevnar 13 prevnar 20,several single-substance pages share this product name and the corpus holds no page for the product itself; the components are linked to it for Phase 4 to compose,"{""brand"": ""vaxneuvance capvaxive prevnar 13 prevnar 20"", ""componentCount"": 4, ""components"": [""K1:0K0S2P98ZJ"", ""K1:2VF3V7175U"", ""K1:B970MQT365"", ""K1:Z9HK08690W""]}"
PRODUCT:NAME:vaxneuvance prevnar 13 prevnar 20,several single-substance pages share this product name and the corpus holds no page for the product itself; the components are linked to it for Phase 4 to compose,"{""brand"": ""vaxneuvance prevnar 13 prevnar 20"", ""componentCount"": 9, ""components"": [""K1:25N8E57V6T"", ""K1:2E1M7F958B"", ""K1:4M543JVT7G"", ""K1:54EC0SE5PZ"", ""K1:5Q768OY0GI"", ""K1:5SKG37872O"", ""K1:SK54I0S386"", ""K1:TGJ6YZC4W7"", ""K1:XK87D9J012""]}"
